Bigram,spanish,portugese
nm,1797,4
π",2,2
ди,1,3
3+,1,2
 i,1,3
‘h,2,1
21,49,61
ku,223,96
gó,1297,252
ōk,2,1
ge,7144,9495
mã,1,6168
mg,1,2
35,29,31
 2,1,2
lâ,1,360
h:,1,2
​d,3,2
jú,31,166
—y,4,1
xo,154,2411
vl,9,11
βο,1,2
 ♗,1,2
tu,21920,17629
bp,3,2
9 ,1,2
du,8122,6440
eô,1,7
 °,2,8
gí,658,184
e/,3,15
0m,1,4
pr,36538,48397
！v,1,2
g8,1,2
+a,2,2
 5,318,317
 l,140576,33407
dí,7399,404
− ,1,4
ου,1,3
ĉu,1,2
-l,26,5068
ès,2,1
5k,2,2
(r,4,7
(s,11,20
од,1,3
á',1,2
ãh,1,2
 n,68453,105949
(y,10,1
üe,362,6
mt,20,7
 ô,1,838
75,17,23
lw,4,2
jf,2,2
 ø,1,2
¡¡,20,1
0/,2,1
ih,33,16
uã,1,157
pm,8,5
rq,2777,2442
fu,13148,5302
-d,30,306
qb,3,2
pb,4,4
o4,2,1
(t,6,12
èv,2,2
"5,2,5
ee,3522,1209
fã,1,93
ôo,1,9
ãz,1,28
qe,1,2
ef,3038,4112
pè,1,4
sā,1,3
ve,35426,51608
íç,1,83
ök,2,3
câ,1,495
a7,5,6
 $,20,21
$2,2,1
av,10468,27289
a5,3,2
óp,215,1216
dj,54,61
58,12,14
7x,2,1
“ó,1,12
:a,1,2
tz,49,22
ɣ ,2,1
qs,3,2
ud,12296,14069
âo,1,3
zv,2,4
-h,18,88
a:,224,283
(d,7,33
ji,1058,223
ó ,27419,3253
2º,1,2
xa,1059,4713
d¿,2,1
bm,26,78
čk,2,1
ho,24625,46914
-á,1,29
cô,1,129
-ο,1,2
1",1,2
s/,3,14
¹7,1,2
ds,51,69
ag,9553,12312
n),6,5
pg,1,2
-q,9,27
41,16,18
—o,3,1
pl,8562,5671
"ε,1,4
 =,1,3
lk,24,12
su,29491,16571
g1,3,4
aj,11137,4963
¡g,97,1
(¨,1,2
10,314,335
ot,13697,7793
sq,961,2755
f1,4,5
âl,3,1
b-,3,3
、何,2,1
zo,4655,897
f-,3,3
96,50,57
x²,2,3
cb,2,5
éh,1,2
áñ,19,1
rt,24402,24196
yn,27,27
:7,1,2
сe,2,1
(2,10,11
-2,6,23
úa,205,1
yg,2,5
z-,2,160
os,128713,123154
₂o,1,3
 d,160094,179122
bê,1,580
(u,8,7
jə,2,1
гд,2,1
jâ,1,2
ol,24764,22149
μm,2,1
9:,10,5
"ŝ,2,2
(9,2,1
"@,2,1
üê,1,5
n–,3,1
éf,681,40
d4,4,4
/8,1,3
3²,2,1
‎p,1,2
“j,2,6
ja,15162,10429
'b,2,2
dõ,1,17
8$,2,1
i;,5,25
"í,3,2
ς",1,2
ão,26,97357
sb,367,179
fe,8777,16457
5%,21,22
―¿,2,1
df,5,3
l ,1,2
í»,4,1
u:,2,179
”),1,9
hm,28,32
ν ,1,3
ar,129318,142940
;d,1,2
^ ,2,1
o],2,2
y),5,4
"â,1,12
lç,1,279
eç,2,6061
nk,79,66
 v,1,4
nb,17,17
sł,3,2
”p,1,2
 è,2,3
@e,3,1
 ç,2,1
væ,2,1
w",1,2
19,382,438
íx,2,3
0-,5,8
-ã,1,12
t*,2,1
äm,1,2
gn,1376,1226
ã”,1,3
áq,238,271
/p,2,2
öh,2,2
zə,2,1
11,70,102
-v,11,468
dã,1,670
íl,87,1085
cz,4,8
hä,1,2
kd,2,3
89,22,43
qü,1,8
"',5,24
–m,2,1
jz,2,2
´),1,2
”e,1,10
bw,3,1
gz,17,13
mi,45408,30423
gt,34,33
54,17,20
r0,2,1
d8,5,6
–2,1,2
ú​,2,1
"x,6,7
ć ,1,3
tö,3,1
iz,6335,11418
b),4,4
co,90533,112098
"k,60,51
¡j,65,1
  ,5,3
 ¡,1197,1
na,69563,42024
“v,3,24
ac,39446,24986
hc,6,9
07,14,14
up,4279,4521
my,43,39
mü,5,3
si,43497,21306
8°,1,3
aí,1985,2774
 %,9,1
- ,192,475
ay,15030,633
7/,1,3
zq,297,1
«c,26,3
сi,2,1
32,15,29
fà,2,1
ĝo,1,4
sá,575,1696
 5,1,3
úo,13,3
‎v,1,2
aq,6063,10963
iá,206,502
rd,14542,12204
¿¿,2,1
¿r,162,1
di,47430,46840
óc,163,678
  ,3,1
“¡,4,1
14,84,146
r;,57,111
áe,68,1
gé,197,206
71,9,17
¨ ,3,1
–¡,9,1
3s,1,2
¡v,410,1
sõ,1,321
 â,1,92
¿é,115,1
¡k,3,1
​ ,10,1
cã,1,590
1-,2,4
 ₪,2,1
b1,3,2
i»,4,2
—b,2,1
h»,2,1
lõ,1,25
oó,1,39
xy,18,19
ói,7,367
xt,2307,1304
ią,1,2
wö,2,2
z:,9,27
ρι,1,2
1;,2,2
[",1,2
lc,1561,801
“¿,3,1
0x,4,4
'マ,2,1
jo,16927,8000
¡n,1096,1
e​,1,2
95,54,56
'r,6,3
: ,1352,1916
57,9,12
uš,1,2
/c,2,6
¡f,103,1
аm,1,2
/7,2,2
eс,2,1
ug,4097,3378
ît,2,1
c",5,7
№ ,2,1
(“,1,8
4%,9,3
ća,2,1
-i,23,68
s(,1,5
 ‒,1,2
mb,12033,7371
d”,5,2
 w,406,400
“-,1,15
yō,4,1
υς,1,2
dv,223,460
9(,1,2
oo,495,1035
e",111,174
º ,8,43
út,671,415
jp,3,1
<<,4,3
'',24,116
pë,2,1
sv,152,156
b8,4,5
v",2,3
6/,1,2
ño,10948,2
t),3,6
6-,4,8
1º,1,14
∈ ,1,2
ób,91,146
iq,884,1716
to,103952,136845
kö,1,3
h',1,4
jà,1,3
—u,2,1
«i,3,3
ím,684,831
-",16,2
nã,3,57425
bē,1,2
"m,3529,2434
8",1,2
s#,2,1
rü,5,1
pä,2,2
 ĵ,1,2
¿p,5526,1
ók,5,2
—s,20,2
kh,21,15
o”,12,43
nâ,1,36
ел,1,2
ám,937,42
 π,5,7
g7,4,3
zg,175,4
lj,3,7
ße,1,4
ã;,1,15
ye,3504,33
hb,3,8
ôr,2,155
–e,4,1
€",2,1
¡h,297,1
ïl,3,1
fs,6,3
e-,75,2518
gj,1,2
oy,13796,58
a-,82,3245
ea,10797,4572
uê,1,1393
⁰¹,1,2
;",2,9
h",16,12
ś ,2,1
"4,2,1
r“,1,2
ae,1761,662
"d,2609,2717
…f,1,2
úd,155,437
ły,2,3
á:,4,5
n’,2,1
r—,3,3
 {,1,2
xó,25,13
"ä,2,1
à ,1,2
sy,21,17
 ע,2,1
kó,2,2
ic,33114,27160
uu,73,14
'q,3,2
"―,2,1
èg,1,2
zu,616,491
¿a,1790,1
sw,20,19
"ţ,2,1
ep,5713,4957
lá,2093,3428
ăe,1,2
-u,16,12
ã:,1,5
f5,3,3
da,59127,75336
m”,1,3
fi,10720,21577
(",5,5
vu,2160,185
éb,151,24
mv,2,4
kr,15,19
(c,14,35
"o,393,7418
xé,2,128
ła,3,2
4),4,6
cd,87,65
¿g,32,1
 u,57528,52205
aß,1,4
”c,1,2
 s,117316,116538
─e,2,1
vá,268,1771
$ ,14,46
9),6,7
pi,15935,8047
oq,550,618
yt,9,7
cs,29,13
ú',2,1
mx,1,3
'+,1,3
θα,1,2
ól,2101,848
/f,2,1
»p,7,1
lú,62,99
mâ,1,118
tr,45991,38487
at,19881,23671
bg,2,3
é—,2,1
:",5,19
«u,3,1
'),1,4
7",1,2
dw,89,21
/o,1,3
 o,22667,86272
46,10,15
ob,11534,11174
úr,141,153
u;,2,38
nă,1,2
aã,1,137
xá,66,90
an,94542,83979
ib,11143,2881
úb,427,364
e7,3,3
ú ,1785,31
36,11,21
dh,32,11
8o,1,2
s-,23,358
"i,318,1112
-o,10,730
n;,56,4
2o,3,3
[r,1,2
n ,161169,2227
êe,1,8
e;,108,180
fü,1,2
"…,2,2
gǀ,2,1
l+,2,2
ko,408,252
á”,2,1
eh,356,19
tb,398,9
f),2,3
xê,1,2
aô,1,4
1%,4,6
 =,3,14
a3,4,4
7 ,116,131
e—,3,2
f ,99,103
o ,5,41
dü,2,2
¿c,5891,1
«¡,102,1
xl,4,1
0w,2,1
g-,13,9
t&,2,2
xi,3009,3600
аs,2,1
(0,2,3
 *,2,1
​p,1,6
l;,36,46
k2,3,3
uā,1,2
ĝa,1,3
 «,469,11
uv,3774,3870
» ,424,5
 >,2,5
 (,189,407
5-,2,3
o’,2,3
úx,1,6
(1,14,26
 g,23884,23212
5ª,2,1
wm,2,3
r ,3,8
 ―,4,1
pc,664,273
nc,27200,25568
uo,551,559
ód,380,234
-é,2,2
nè,2,1
—e,25,5
ën,3,2
éd,863,1675
a–,11,1
 0,44,44
0º,8,12
:2,3,1
言っ,2,1
ví,2743,612
…e,1,2
wé,1,2
áp,1338,1123
áf,473,331
─¿,5,1
“y,3,1
'h,4,3
a(,2,1
œu,2,1
fg,9,4
ga,22754,23196
xh,85,1
i",22,60
 c,4,15
 ĥ,1,2
×',1,2
qu,109271,134501
dq,95,101
dū,1,3
fy,3,10
1n,2,1
oî,2,1
¹³,1,2
"0,1,3
çã,2,10044
g ,245,219
ql,1,2
ê ,3,34298
ôl,1,57
:q,1,2
íq,123,83
²⁰,1,2
»n,15,1
88,35,43
rа,1,2
лс,1,2
éo,5,10
iê,3,884
àq,1,90
 q,80744,96426
ió,25312,100
wü,3,1
um,6214,61527
` ,2,1
vô,1,393
iñ,3301,1
"b,530,523
m³,1,4
mé,1617,1852
pá,1403,956
´é,1,2
3-,4,5
kc,18,3
»j,2,1
eş,2,2
-),2,1
2n,1,2
の？,2,1
/4,1,2
b;,2,3
nā,1,5
ah,4761,221
d',14,105
-m,70,3662
3·,2,2
→а,4,1
sr,301,470
o6,1,2
»é,6,1
nu,12370,8458
(8,2,3
ån,2,1
lo,73274,21842
 f,2,8
o),27,60
76,13,24
sj,7,10
0p,2,1
óv,462,283
’á,1,7
õ ,1,3
z–,2,1
aż,1,2
¿4,3,1
pn,15,77
je,8814,5558
ij,6097,1093
cê,1,44806
f9,1,2
81,12,19
lr,359,17
'¿,7,1
'á,1,93
ãa,1,2
võ,2,16
5},1,2
 ♘,3,4
-8,1,6
hó,450,80
jó,1451,21
au,5631,6234
8-,3,4
dô,2,37
e–,3,1
ch,28183,22840
hl,13,16
u ,19762,116054
jã,1,56
èl,2,1
ša,2,2
"é,1669,1009
úl,1406,1148
¡é,41,1
´ ,2,1
lt,7401,8225
gü,475,5
3:,3,7
/y,3,1
—h,3,1
ĵo,1,2
úy,8,1
zę,3,1
x9,2,3
fo,5324,20029
 r,31860,29104
õe,1,3844
rl,7075,478
°c,4,11
sù,1,2
ñe,664,2
eú,29,84
uŝ,2,1
k',3,2
óf,116,35
zõ,1,79
m»,3,1
m',1,5
65,29,26
6h,3,15
'×,1,2
cá,1562,515
év,110,45
ty,82,78
2s,2,1
fé,966,1568
áj,415,3
än,2,1
(x,2,3
ês,2,13687
'&,2,3
;p,1,2
θ ,1,2
i6,2,2
tl,218,140
“p,4,35
a！,1,2
1x,1,3
8 ,144,181
“u,1,11
s’,5,1
żd,1,2
y;,9,4
-j,5,10
s¿,8,1
 ",2752,3671
xú,1,6
p",8,4
če,2,1
á ,18052,35359
/l,5,1
zi,133,4486
"г,2,1
(o,9,43
’;,1,2
zw,11,8
ęs,3,1
x1,6,9
¿j,49,1
cl,5218,3574
íc,2598,3576
o",338,329
db,6,13
ǔ ,2,1
oë,3,3
l»,4,1
"h,1925,760
p),2,3
¿n,1609,1
74,15,15
oi,766,20536
ra,111096,128223
m:,3,114
ús,1508,1395
5),9,10
»u,3,1
dа,2,1
ıl,1,2
1 ,122,173
¿l,950,1
7%,8,2
íp,139,344
дь,2,1
wu,3,4
39,19,21
í:,17,3
êx,1,46
nj,1403,839
e+,2,3
rî,1,2
-7,2,1
';,3,4
r»,4,1
？v,1,2
nx,2,184
ė ,2,1
 /,15,2534
i+,2,1
¿i,51,1
";,8,8
bt,312,208
tô,1,268
53,11,13
ux,70,662
 º,9,2
”a,1,5
r',5,8
"ö,1,4
áa,2,2
íb,383,194
hā,1,2
 ó,223,1103
με,1,2
"¡,1985,1
cq,8,8
km,22,18
02,37,56
 `,5,1
l3,1,2
tg,6,4
y ,49837,4955
 i,29630,46630
[t,2,1
c-,6,5
8;,2,2
¡a,580,1
cc,3505,54
\\,1,3
põ,1,268
pf,6,11
ú",6,1
× ,1,2
«n,75,1
«m,23,1
¡¿,30,1
bj,375,453
8%,9,7
óx,603,982
z ,6250,11055
dk,17,6
ĉi,1,8
dì,1,2
jê,1,3
"l,5882,532
 :,5,1
ky,100,90
ë ,1,2
śk,2,1
lu,8865,6901
xī,2,1
mp,25996,24167
 –,52,319
dù,2,1
/h,7,6
o;,240,401
d¡,2,1
êm,1,1982
47,16,17
ó—,5,1
xc,803,670
 β,1,2
cj,3,4
d+,2,1
kv,1,2
ig,15066,17197
ft,91,77
gä,2,1
n”,4,17
m¡,2,1
ué,14529,4126
lq,999,981
xe,58,2967
ê;,1,8
"ó,2,55
61,13,16
sé,4033,1254
 @,2,2
0),8,8
ií,5,6
p:,4,3
l),10,20
-f,14,612
？',2,1
а],1,3
mf,2,2
rm,16865,12325
hw,7,16
 e,3,22
0h,6,16
mó,1512,416
:n,1,2
עַ,2,1
27,26,35
cr,12082,11494
r-,18,1847
wn,70,96
¿",4,1
29,15,24
bq,2,1
mê,1,630
r7,3,1
oé,41,69
a),33,77
o？,1,2
¨),1,2
ь],1,2
öd,4,3
'",9,21
/m,2,4
ồn,2,1
―¡,3,1
 d,4,16
ɣe,2,1
—n,13,1
rv,2310,3593
⨯b,1,2
"s,6070,5147
° ,2,1
¿t,2996,1
xw,2,2
d’,1,8
iǎ,9,1
'c,5,12
​h,2,1
oí,1260,169
ισ,1,2
á ,1,3
úp,379,324
ос,1,2
9",3,1
"─,4,1
8+,1,2
 7,125,129
“i,5,7
po,51635,62959
ác,1617,1231
0:,11,6
:¿,2,1
 /,1,2
 f,35301,84254
ōu,2,1
+9,1,2
dy,83,54
ád,37,317
–n,7,1
s$,1,7
d»,2,1
マリ,2,1
97,56,59
kl,39,21
5x,2,1
p-,5,3
ор,1,3
wa,294,244
me,68000,84432
pê,1,73
c1,4,5
e:,116,374
i ,1,7
oc,21556,51995
sn,240,170
b5,3,3
úñ,7,1
 é,2,2
1h,2,4
z’,2,1
= ,1,3
¡i,56,1
6:,10,16
le,57360,53934
zō,1,2
cœ,2,1
d),1,6
ad,73093,63221
pq,1,3
4h,1,14
2:,72,89
hu,4156,3824
a»,23,2
‘a,3,1
0s,2,1
í),2,1
õs,1,2
'_,1,2
'-,1,4
)t,1,3
ío,2707,166
fô,1,93
"t,5878,6354
jø,1,2
o¡,4,1
/b,1,3
“r,1,6
d/,4,3
i:,4,31
; ,1,2
o–,7,1
b2,3,2
​s,2,3
–p,6,1
"ê,1,3
hk,6,4
ră,1,2
4/,1,2
éj,462,3
hq,2,3
(`,1,2
 #,2,5
“c,8,6
#2,2,1
fa,9342,34669
z",16,9
ao,392,8431
/a,7,4
0$,5,1
ür,4,2
“ ,1,2
/w,2,2
 –,1,2
4g,1,4
8x,2,2
38,10,13
—q,3,1
b:,3,1
7@,2,1
-k,6,6
♗b,3,3
jr,6,3
mú,1172,1155
c6,4,6
tv,49,262
ós,508,7613
c7,2,2
 j,10410,15765
»«,5,1
dt,12,7
/ ,1,2
3/,1,3
í’,3,1
áo,2,1
–5,1,2
-;,1,2
…v,1,2
“g,3,6
？e,1,2
/s,1,7
s–,3,1
« ,3,1
gh,52,26
eé,144,2
+2,2,1
 ü,2,1
ἀρ,1,2
ŭi,1,3
x5,2,1
(#,2,1
zn,64,3
ŝi,1,3
ws,21,32
x7,2,1
aš,2,1
03,16,41
ct,8482,768
óa,2,3
'j,1,3
r–,2,1
0€,2,1
u),2,3
cm,14,11
($,1,3
nº,2,8
—p,23,2
zé,3,63
rp,1781,1522
od,22141,22013
k),2,3
ôn,1,1499
üh,1,2
ˈs,2,1
ùt,2,1
fá,1243,1082
ta,101707,92341
82,13,16
–¿,5,1
1+,1,2
ל ,3,1
z”,1,2
êr,1,4
cv,4,2
rj,271,69
ág,678,2367
“l,3,9
45,33,42
o\,1,2
íz,93,106
s:,335,363
37,9,20
í-,1,23
zb,10,7
"6,1,2
μ ,5,1
"ˈ,2,1
eñ,4302,2
zy,7,5
pz,3,2
lö,1,2
hn,688,502
aç,2,11587
sç,1,30
em,32756,90388
bv,147,157
»a,3,1
/0,1,2
iù,1,2
$7,1,2
/n,1,2
ly,124,110
o-,72,1656
mí,3534,1214
še,2,1
új,33,1
94,35,58
тe,2,1
có,4627,630
15,111,161
x ,106,111
js,2,3
7ª,1,2
--,12,15
ka,658,419
g:,2,1
9 ,97,111
4·,2,2
+',1,3
l',4,7
ín,1806,2817
)v,1,2
iw,31,16
mq,2,2
"q,857,3756
«t,33,1
êu,1,17
де,2,1
3x,2,3
wf,2,4
e),8,24
i),2,6
”y,1,2
¡u,88,1
 l,2,2
(-,1,2
l—,2,2
ei,2399,51198
zá,363,38
—¡,36,1
s¡,2,1
zc,1311,7
80,68,61
gô,1,7
la,134752,52323
mm,90,67
¿f,85,1
ái,980,9
>j,2,1
"¨,2,1
“ŝ,1,2
ti,45736,34670
n—,5,1
ée,50,1
 г,1,3
gâ,1,62
ló,1868,900
ñí,336,1
rę,4,3
δh,1,3
j",5,3
r:,54,95
♘c,3,3
ア、,2,1
–4,1,2
οη,1,2
o7,2,1
t+,3,2
gc,3,1
i-,22,1062
r$,14,32
āk,1,2
"j,282,609
»r,2,1
cp,3,10
z»,2,1
 p,2,10
-ω,1,2
d1,4,6
ú:,1,8
1°,1,2
\",1,3
) ,115,219
m ,22524,169194
ek,89,24
nn,798,321
“ê,1,2
ēr,1,2
in,49690,66439
ál,1866,1564
rô,1,301
‎i,1,2
b6,4,4
:t,2,1
xq,28,1
qr,1,5
vâ,1,16
g),3,3
áx,88,402
rz,1222,69
pο,1,2
6d,1,2
re,96502,94308
20,408,693
s),31,78
áu,31,112
̉¿,2,1
4",4,2
¨n,2,1
"&,2,2
'/,1,2
>>,4,2
uá,4357,139
s ,7,16
ḥl,2,1
9p,2,1
eĺ,2,1
yz,5,4
ūd,2,1
oç,1,1180
–9,2,1
é ,2,2
 đ,2,1
$8,1,2
¡y,178,1
-c,37,417
tc,70,152
íñ,6,1
ny,157,113
ry,8135,6331
ul,9658,12496
of,3239,3931
't,8,9
 h,66344,18159
a;,195,321
ên,3,4172
ma,61376,94856
 u,1,2
d",32,9
+0,2,2
(g,5,10
ãe,2,2137
e',8,11
«j,2,1
o:,344,363
n],1,2
ld,1441,1111
rê,3,2494
&',2,3
–s,7,1
ün,2,1
ôs,1,329
bu,8508,2638
šo,1,2
no,94431,46754
s​,1,2
 +,12,7
dé,1942,259
'7,3,1
ék,1,2
—v,5,1
-3,4,6
g4,4,5
rh,32,4
ue,129774,108020
ui,26762,34265
vo,18073,65223
tw,97,87
 ‘,12,4
9º,1,5
nĝ,1,4
 ÷,2,1
aa,99,238
8:,19,7
e ,6,12
a8,4,3
6ª,1,2
zr,4,1
wi,287,151
c/,2,1
-z,4,7
xp,2042,2114
é",8,4
bä,1,4
{1,1,2
dê,1,1299
o@,2,1
mr,12,6
éq,5,12
pt,1839,510
–d,6,1
"[,1,2
mä,1,2
li,26711,25206
dc,11,38
'¡,2,1
ō",2,1
mǐ,2,1
iĝ,1,2
êl,1,2
iu,1676,6657
yj,2,3
`t,2,1
y—,2,1
☭ ,2,1
bk,3,2
