Trigram,polish,czech
j p,1339,202
hao,9,2
oui,4,1
edł,1033,1
 zl,20,203
ma ,3002,948
gui,2,1
zdj,232,1
énd,2,1
 kt,2,1
w n,796,1
j 8,2,1
ać”,2,1
tuž,1,39
běj,1,4
čoc,1,2
hej,39,76
 mě,1,2180
a l,573,203
řbe,1,6
osw,2,1
cet,48,226
:23,2,1
žlá,1,3
she,6,2
o-i,2,2
míl,1,8
ąbr,2,1
łyk,12,1
 ‚r,1,3
ego,9324,8
zvě,1,65
m"j,2,1
ror,28,9
łtą,4,1
eod,24,87
chł,551,1
łab,302,1
fí ,1,2
sus,59,8
7 9,2,1
kob,315,14
mte,115,17
 jí,1,1052
žte,1,34
jů ,1,3
kýv,1,7
w f,61,1
z m,1148,98
paj,92,3
ur”,2,1
zwu,2,1
ges,21,3
ehř,1,2
alé,2,102
ara,952,99
dýš,1,2
my',2,1
raź,82,1
péh,1,5
a z,2488,692
efn,1,2
ytą,15,1
avm,1,4
p e,2,1
czl,26,1
m; ,7,5
1 r,7,1
m-b,2,1
ydí,1,17
vzh,1,43
áro,1,52
uge,29,2
dír,1,22
154,1,2
him,17,4
yer,2,1
pco,9,1
-mi,2,1
tiw,4,1
ěnu,1,23
ędą,129,1
ta",3,1
vzt,1,33
aws,776,1
ń b,45,1
żak,10,1
ěmu,1,13
ýzv,1,8
dve,1,226
dch,56,63
ůrc,1,2
l —,1,4
żcz,274,1
ny”,2,1
zšt,1,110
k s,628,607
odś,13,1
​ni,3,1
„ju,2,1
zvu,1,29
ánk,1,57
yže,1,15
ą p,1092,1
ród,181,1
rm ,19,6
wsó,3,1
ehe,3,6
uža,1,3
j r,394,13
 dů,1,495
ou;,1,2
 zw,772,1
yró,16,1
uwo,20,1
bgr,3,1
ż m,239,1
aui,2,1
yak,4,1
gal,73,25
etě,1,41
oty,580,85
axí,1,15
prš,1,160
saw,5,1
óźd,9,1
muć,2,1
ň ",1,2
gra,1476,90
p3 ,5,3
y „,8,2
cea,35,2
vlé,1,23
hří,1,12
sco,46,2
jr ,2,1
del,97,92
e c,2380,453
gąc,7,1
m"n,2,1
„th,2,1
míň,1,6
ydk,32,1
k h,13,107
ěk ,1,90
dźc,77,1
kó ,2,1
ruo,2,1
dař,1,48
říh,1,18
chť,1,4
ośc,1563,1
íze,1,289
ozh,1,212
zcv,1,3
miy,5,1
tet,134,30
acp,3,6
irp,2,2
ši“,1,2
dčo,1,4
rší,1,156
pre,466,84
rvé,1,47
ób ,301,1
ueb,3,2
der,169,17
am/,4,1
fuc,3,1
ę u,2,1
1 j,2,1
jgu,5,2
ož ,1,53
jew,6,1
łny,36,1
999,2,1
řky,1,4
bum,11,9
maž,1,13
hla,8,807
"od,175,85
rąd,40,1
čka,1,303
nčů,1,2
“od,1,3
óźk,2,1
rpo,8,1
ypo,204,31
ó k,2,1
rią,30,1
k) ,3,1
tiš,1,46
adi,106,183
ą"z,2,1
 łk,2,1
eďt,1,9
mpi,32,10
nto,206,331
ysu,40,4
tta,4,2
epě,1,13
enů,1,11
2 z,1,2
ečm,1,2
a/o,2,1
bmw,2,1
san,212,34
tně,1,179
ć h,28,1
rtó,14,1
išť,1,5
ý k,1,108
-ge,2,1
ędź,10,1
zec,1729,5
uďt,1,27
erš,1,5
ábr,1,5
ul ,17,115
ámý,1,24
łbi,2,1
déc,2,1
 gr,1174,26
nky,1,118
i -,15,3
rev,1,44
ěmč,1,14
atd,1,2
łyż,33,1
i č,1,137
můl,1,10
ž a,1,29
ézy,1,2
zpo,153,159
tyď,1,3
źwe,2,1
tę”,2,1
ode,626,438
ějt,1,14
ak;,2,1
byk,8,1
věr,1,59
íns,1,22
šmí,1,2
lka,407,143
sęp,9,1
nkn,9,2
gma,7,1
itl,6,17
odr,483,140
dlą,3,1
la:,1,4
utě,1,40
tík,1,19
štv,1,75
"čl,1,16
b t,75,5
 de,523,647
ě c,1,90
ebu,567,1005
ínš,1,8
 žs,1,2
v u,1,14
řiš,1,248
yca,28,1
sva,1,49
vsk,1,30
akv,1,8
usv,1,2
'ac,2,1
ięd,618,1
ose,253,44
tyf,8,1
/my,2,1
éns,3,2
ď z,1,28
dke,1,10
trh,1,36
eřš,1,4
é c,1,56
ělš,1,11
n b,303,92
upé,2,14
ewę,2,1
igm,2,1
bií,1,5
věd,1,1030
esk,161,194
beu,2,1
650,2,1
gři,1,4
wró,581,1
kyi,2,1
euh,1,7
edč,1,6
íŕa,1,2
ušo,1,13
odó,125,1
ażl,20,1
vím,1,746
avu,1,135
łtw,2,1
hyg,1,3
e"",24,10
emc,79,1
ęgl,23,1
zył,1712,1
i k,586,537
udr,2,37
uha,1,21
d m,219,147
ď i,1,2
yue,1,2
ř o,1,2
éry,1,9
ype,68,5
ann,199,39
oki,475,31
owy,1421,1
édé,1,3
émt,1,3
) o,3,1
ółe,4,1
5 7,2,1
get,28,25
cna,26,2
lza,1,5
léř,1,2
ízí,1,16
dag,6,2
004,2,1
ň c,1,3
nuz,1,3
éní,1,2
myk,54,6
eno,53,380
cul,3,1
"pc,3,1
 fé,1,7
phe,1,2
ow ,6,1
zhý,1,2
jmą,10,1
n-p,2,1
ń s,65,1
jku,4,7
ątc,3,1
ąćn,2,1
aed,2,1
ěné,1,18
żbo,11,1
mau,4,1
łka,201,1
vés,1,20
ć (,2,1
tář,1,32
api,707,83
ídl,1,191
wco,4,1
k ś,50,1
j i,148,2
týr,1,11
zhn,1,6
 я ,1,3
njo,3,1
ęch,7,1
zsv,1,14
”dz,2,1
bsn,2,1
çin,3,1
"„n,2,4
pić,382,1
ouh,1,423
945,8,5
oso,460,85
u a,89,197
áže,1,118
nco,17,338
 in,1217,125
áři,1,53
abý,1,20
a p,4125,1233
914,2,1
"vp,1,4
ýve,1,2
obé,1,4
učí,1,153
eke,68,24
wpa,126,1
áší,1,104
tę-,2,1
g d,26,1
; p,10,5
změ,1,192
obž,1,5
nbó,1,3
 fň,1,2
bką,4,1
wte,127,1
gno,109,28
plo,78,78
ějš,1,185
 kł,318,1
dav,5,73
bós,6,1
fie,25,12
 36,4,2
 ca,751,14
ree,12,9
urů,1,2
ay ,11,1
"wb,3,1
htu,1,4
chl,135,483
lue,2,2
ůze,1,27
źcą,4,1
nią,680,1
 th,9,7
mwa,29,1
itą,17,1
ręż,18,1
ōgo,2,1
mcą,9,1
ohr,1,91
ipů,1,2
pot,2188,1038
čák,1,10
pje,1,3
„cr,2,1
mák,1,2
hůl,1,5
thu,1,2
nfi,3,1
ešu,1,4
ż u,47,1
26 ,6,1
ána,2,67
kę”,3,1
otř,1,739
ohl,1,1262
ólů,1,2
 ra,2210,278
hii,3,1
yří,1,15
dly,1,28
tě",1,2
-cz,3,1
e'u,5,1
ejm,193,125
” “,1,2
ízk,1,58
ibí,1,2
xy ,2,2
aś),2,1
jąć,111,1
ěva,1,12
ehk,1,37
bbo,2,1
e o,2062,1018
pąc,8,1
irt,6,2
igr,43,4
 o ,2578,1115
ž b,1,260
kay,4,1
łęd,198,1
rkk,3,1
výr,1,35
pev,1,10
:45,2,1
k ",4,1
ví‘,1,2
wku,48,1
byv,1,17
ępc,31,1
jęk,5,1
óch,115,1
koh,80,305
łez,19,1
łeć,4,1
uká,1,130
žni,1,26
22),2,1
fáz,1,2
18 ,12,5
'tr,2,1
mvi,1,2
 pł,776,1
rab,159,84
ěmé,1,3
ssu,1,2
um",2,1
wód,136,1
é x,1,2
ca-,2,2
zly,3,5
opo,706,119
wzl,5,1
évk,1,32
y… ,2,1
vdy,1,35
zak,430,78
otv,1,56
oiz,4,1
zcę,2,1
taf,9,1
łóc,61,1
p m,11,8
isk,560,104
rhu,1,17
ben,37,167
zęś,650,1
bře,1,313
lcó,13,1
taa,2,1
8 s,4,1
scz,2,1
s z,130,107
ygl,633,6
woń,55,1
zek,1468,50
zeó,4,1
lmi,13,471
ějm,1,3
ck",2,1
ýzk,1,7
zrą,2,1
frí,1,2
gol,108,11
ěřu,1,17
” c,3,1
é h,1,77
ze;,2,1
w z,523,1
nga,39,6
z"n,2,1
dzt,18,1
979,2,1
ubę,5,1
ěšt,1,6
ů o,1,13
wy ,800,1
vir,1,24
zhe,3,3
s"p,2,1
hín,2,1
cín,1,7
ść ,1876,1
/ n,2,1
ůsl,1,9
áč ,1,14
m w,2600,2
yną,153,1
ą z,2,1
neš,1,193
ilc,54,1
nák,1,49
ęka,72,1
pňů,1,2
m -,11,4
tvi,1,3
""－,2,1
 ha,273,64
7:0,8,1
třp,1,5
orp,12,1
chę,553,1
ahl,2,109
0 a,6,4
ewz,2,1
osf,20,9
ěm ,1,25
u ź,2,1
j g,221,2
„ge,2,1
s u,35,81
áká,1,8
 ar,239,54
łah,6,1
mhm,2,1
owd,2,1
tbě,1,8
wzi,275,1
j e,31,4
tší,1,90
liď,1,3
rbk,1,2
lst,10,35
výz,1,36
p n,11,13
 of,57,11
xix,5,1
ką),3,1
sz”,3,1
czw,72,1
 bd,1,2
ddn,1,2
zy”,3,1
""2,1,2
čuč,1,2
gad,316,1
ijk,11,1
jbr,3,1
o ž,1,130
néh,1,219
dcę,3,1
átí,1,113
vdi,1,18
t -,11,3
lbo,129,7
ącu,88,1
upm,4,2
gap,53,4
lán,1,209
"tř,1,13
ožů,1,2
ž 4,1,2
/po,6,1
ď 5,1,2
u"m,2,1
ężn,54,1
ejr,175,19
tąp,138,1
irá,1,4
ítř,1,24
onu,402,225
 ex,4,61
dát,1,112
„mo,7,2
eíc,1,2
"kn,2,5
z ž,1,3
kka,31,1
čce,1,33
agr,271,20
dwó,170,1
h ć,2,1
íší,1,5
ácl,1,7
baj,98,8
"rů,1,3
hká,1,6
woz,32,1
cok,76,31
980,5,1
w j,2,1
ůhv,1,2
“"",1,3
tyt,37,76
był,4379,1
pý",1,2
pív,1,134
ápě,1,10
put,241,7
4 s,2,1
nii,342,10
ę u,585,1
ckt,1,2
soś,5,1
j ł,12,1
ě 8,1,2
- t,28,5
ťuj,1,8
g z,32,2
ta-,2,1
ats,23,10
ídi,1,101
vdí,1,2
85%,2,1
66 ,2,1
kdy,1,2089
duń,5,1
exu,2,16
new,10,18
ehd,1,22
tią,9,1
onď,1,7
-še,1,2
zbo,25,33
ášt,1,37
ata,813,139
juj,4,17
iyo,2,1
abe,67,27
ěz ,1,46
zíc,1,15
néč,1,3
ir",2,1
síh,1,2
czu,854,1
wy),2,1
yy…,2,1
ríd,2,1
móz,27,1
n -,5,1
míř,1,13
36 ,3,2
 sw,2131,1
dna,364,102
o l,606,220
ur-,2,1
umą,3,1
lýs,1,3
čte,1,88
iřu,1,3
k „,5,1
eze,208,149
osć,2,1
żió,2,1
łzy,24,1
ůru,1,35
láb,1,7
aoc,4,1
 6 ,11,4
kep,2,4
 mů,1,590
g w,36,1
 tv,4,654
ugn,8,1
łmu,2,1
ons,78,96
žid,1,50
vel,4,895
gas,71,3
ęćs,8,1
yzd,34,2
pos,1600,846
tši,1,64
nny,565,3
lmů,1,4
uřt,1,2
fx",2,1
y 5,1,3
u -,7,1
:10,2,2
iźd,2,1
 mn,2945,567
spo,2001,521
ezv,1,49
ajc,145,1
ąde,39,1
zęc,38,1
stł,13,1
"„w,2,1
oeb,69,57
cím,1,40
ónz,2,1
ášo,1,4
”cu,2,1
ołt,3,1
sy ,224,68
fts,2,1
raz,2155,229
yoz,3,1
řeb,1,810
lňu,1,5
izm,45,3
ulą,3,1
dm ,1,28
sví,1,74
"cu,8,1
kcj,257,1
očí,1,180
okk,24,1
lgi,24,6
cme,11,1
es",2,2
amz,2,1
jęw,2,1
zżó,3,1
čit,1,662
 ce,412,516
rse,5,3
rig,7,11
týs,1,12
wet,342,1
cí ,1,222
kná,1,6
ram,533,131
x n,2,2
d v,1,125
łku,75,1
a é,2,1
wur,3,2
lkm,2,1
cim,43,2
í 1,1,3
pof,6,1
niź,2,1
tek,438,210
uoc,1,2
491,2,1
s 8,1,2
” j,5,1
asj,26,1
xxx,2,1
 / ,3,1
inu,259,551
lev,2,157
htó,2,1
ke ,45,101
bzi,9,1
"gn,3,1
isv,1,2
alž,1,7
sów,228,1
kuk,10,6
ąś ,42,1
ébl,1,2
dbě,1,12
rłe,37,1
z) ,2,1
wne,356,3
„wł,2,1
ymk,17,5
 an,959,519
coś,787,1
nda,100,41
ół ,253,1
 jr,2,1
čij,1,2
ate,742,285
​​j,6,1
4:0,2,1
áze,1,162
přá,1,263
zkř,1,2
""ž,1,12
óje,2,1
ádř,1,15
aw ,136,1
 zp,1,400
cíc,1,50
xue,2,1
łoc,82,1
pcy,56,1
„fr,2,1
sot,4,25
m t,2177,2158
"is,12,2
émo,2,5
lzÿ,2,1
iéw,2,1
žen,1,539
e 1,25,34
ę 3,5,1
x"",2,2
zce,36,24
yza,25,4
ć –,2,1
żia,2,1
ks:,2,1
"ož,1,4
iót,4,1
łóż,221,1
saš,1,2
"wś,8,1
vyb,1,111
erą,13,1
vde,1,2
ěmí,1,3
cit,3,76
zhř,1,2
ś(a,2,1
rtl,2,3
vcí,1,5
ż s,235,1
wtł,3,1
 en,78,20
" n,4,3
an/,3,1
m"",13,5
nhl,1,99
šat,1,45
dyb,366,305
 za,3,1
šak,1,15
ášť,1,19
tło,105,1
"ve,1,73
a-l,1,2
rů ,1,15
dut,2,4
"ml,6,58
swó,322,1
tla,20,106
ědn,1,30
znů,1,3
źdz,236,1
uko,160,52
mpę,10,1
i 4,4,1
ží ,1,188
​my,2,1
idz,1431,1
żkę,398,1
ręk,203,1
ókł,4,1
tp ,2,1
šij,1,5
čné,1,124
mrá,1,6
vu:,1,2
 kc,15,1
„dz,7,1
šip,1,3
dov,1,485
alw,3,1
ize,12,61
ux",1,2
nae,2,1
odm,92,145
pea,4,3
cąc,26,1
 ný,1,9
ja:,3,1
bo…,1,2
ąty,47,1
​te,2,1
ćpr,2,1
něm,1,167
edj,1,3
wug,2,1
dnů,1,15
ooś,2,1
uzy,288,1
o-c,2,1
mbr,11,2
odt,18,14
vča,1,44
rżb,2,1
ýka,1,18
čhu,1,2
wej,460,1
ozt,16,38
roš,1,39
kýz,1,2
efů,1,2
uno,19,3
f k,6,3
udl,4,5
bla,73,33
2 o,2,1
rup,98,7
śre,79,1
 aa,3,2
b r,10,1
iém,2,1
řiv,1,46
anc,730,503
ěňo,1,2
"żą,2,1
ílo,1,18
ko ,2697,763
vzl,1,7
tví,1,215
rpě,1,73
u 5,7,2
dům,1,245
pět,1,187
pií,1,2
du:,2,1
onk,151,15
 vk,1,5
"lz,1,2
jdą,26,1
 ai,7,2
ůrk,1,4
ema,363,79
węc,5,1
mls,1,2
wdr,6,1
erá,1,87
9 j,2,3
od ,1842,526
​wy,2,1
vár,1,37
išk,1,16
kuś,2,1
 is,155,7
wep,3,1
jeś,949,1
flí,1,10
o ł,170,1
aom,5,2
moz,12,50
ády,1,54
o-s,2,1
arš,1,96
mýl,1,49
teh,1,24
ž -,1,2
łną,8,1
ýc ,1,11
ź i,36,1
zad,818,66
ądy,34,1
umo,86,17
hyo,5,1
11:,4,1
ák ,1,43
čeb,1,24
ze”,2,1
abą,9,1
ziw,419,1
fag,2,2
krz,352,14
irý,1,3
edź,220,1
izj,187,1
 iv,3,6
ial,290,17
o «,2,1
202,3,1
"„z,3,3
l w,86,3
š e,1,2
mąd,129,1
osé,2,1
rps,2,1
wą ,280,1
rej,242,50
wyj,693,1
9 m,3,2
01 ,3,1
a)m,2,1
ack,90,31
ś m,498,1
jsc,441,1
pná,1,9
a)b,3,1
59 ,1,2
i/m,2,1
učt,1,5
v 7,1,2
hty,1,10
ápe,1,39
lta,13,5
í r,1,203
"zł,35,1
tęp,468,1
hvě,1,35
zyż,90,1
ąsa,8,1
íšu,1,25
iň ,1,9
ówb,2,1
ywr,10,1
 wn,62,1
rop,410,120
ą ż,87,1
ouč,1,84
y 3,7,1
mil,199,512
łtk,4,1
ičc,1,22
bie,3548,4
ctí,1,4
rne,196,29
slů,1,5
beg,7,1
hni,229,311
e ​,23,1
kém,2,45
tew,11,1
ętr,75,1
sle,4,705
ů p,1,30
cus,495,2
 wy,3,1
nis,580,74
8 c,5,1
igo,13,2
zge,2,1
nýb,1,9
ivc,1,2
pče,1,2
"gł,32,1
agl,103,1
ółn,57,1
t o,425,226
kci,96,15
źba,8,1
jid,2,1
te',3,1
uvč,1,16
mic,72,17
śno,55,1
o k,2,1
907,2,1
óżą,3,1
yfu,2,1
iol,33,14
ytí,1,26
ądr,139,1
mův,1,117
azm,21,1
koo,5,2
gré,1,2
ušc,1,3
ęgó,2,1
gij,15,1
tyć,3,1
uhu,1,21
"řv,1,3
léd,1,39
děč,1,22
jmł,12,1
lní,1,183
aré,1,53
'ra,2,1
žům,1,3
utą,13,1
"on,1055,117
ir ,17,2
hie,7,1
aj;,3,1
dta,2,6
jny,246,2
""j,347,223
pno,10,32
řiž,1,4
úda,1,9
agą,16,1
asf,3,2
yřl,1,2
i 3,5,4
don,30,32
„kl,2,1
tók,1,2
cou,4,327
ouc,15,269
ęgn,70,1
 gt,2,1
"se,29,34
fak,102,26
unš,1,3
ršu,1,7
bsk,33,12
 ok,925,224
uvo,1,9
uvz,1,2
ś ",2,1
ědě,1,724
pna,23,3
kva,1,130
uem,3,1
hák,1,3
téh,1,57
myj,76,36
ydu,35,1
dši,1,42
u 6,5,1
ážk,1,9
 ba,2,1
gai,4,1
jzi,3,1
łeg,195,1
děv,1,34
muż,3,1
ubá,1,3
rnk,7,4
jčo,1,7
65 ,7,2
apů,1,11
hrb,1,3
m/a,3,1
cky,2,298
ałk,273,1
wda,458,1
cno,107,43
5go,2,1
vé ,1,805
sde,2,1
e n,3653,3187
tuh,1,85
"wc,105,1
eté,1,11
§2 ,1,2
yc:,2,1
ěra,1,11
mrd,1,11
íc ,1,185
guá,1,2
ešv,1,2
výs,1,55
 -1,3,1
eć:,2,1
yś ,2,1
 nu,184,145
ucj,31,1
964,2,1
cys,3,1
cyk,39,7
rsó,6,1
rów,766,1
kśc,3,1
můj,1,560
cvr,1,2
omm,3,2
hé ,1,62
egi,113,12
óbą,2,1
ámh,1,15
nér,1,10
ř l,1,4
łwy,4,1
šir,1,13
ydy,2,1
toř,1,9
mün,2,1
eli,962,453
 (=,3,1
"ex,1,10
ę -,10,1
ekn,11,256
apl,43,158
3 p,3,5
čči,1,2
oče,1,93
ři ,1,469
myš,1,65
osá,1,41
aii,2,2
ýrc,1,2
j ć,7,1
vnu,1,17
 “i,1,2
žbu,1,5
 h ,2,2
 šr,1,8
ryf,12,1
bnu,1,7
ś/a,3,1
bug,2,2
éto,1,159
ock,24,13
ýto,1,6
váč,1,2
ążl,5,1
hok,31,18
áře,1,55
zúč,1,23
kób,1,2
h j,132,137
 54,3,4
o-j,2,1
sid,2,4
bou,4,386
tém,1,88
"vr,1,26
k š,1,24
č o,1,22
ožn,1,319
ě u,1,126
"eg,3,2
wus,2,1
żo ,553,1
ągi,49,1
ryu,4,1
et:,2,1
fni,4,1
lál,2,2
agn,87,7
čtr,1,4
ÿne,2,1
 dź,45,1
ś j,336,1
les,113,197
 ed,49,5
deí,1,2
rżą,6,1
 am,263,70
ěň ,1,3
yšr,1,2
81 ,2,1
"vž,1,34
wa”,2,1
naú,1,2
td ,2,1
č h,1,14
rýč,1,7
"kv,1,17
dął,3,1
nné,2,22
rak,503,114
chv,1,129
yho,1,87
024,2,1
riá,1,29
--t,2,1
jep,1,5
d ż,17,1
oma,1575,1446
 37,3,1
j 1,7,1
ńca,137,1
flé,1,2
ong,39,16
k z,446,140
odd,316,17
utn,144,162
i e,58,16
twó,420,1
ubk,13,6
/ra,2,1
yck,14,144
ubů,1,3
wał,2541,1
yit,2,1
c; ,1,2
kór,51,2
łt ,7,1
č z,1,10
buč,1,3
k u,110,44
il-,1,2
očp,1,3
rac,2731,708
a” ,7,1
ý n,1,192
tís,1,2
hoj,9,18
ážď,1,3
h₂o,1,2
ają,1905,1
mcó,13,1
ršt,1,14
 „m,11,4
/ p,3,1
čar,1,12
žné,1,108
smą,6,1
wpo,4,1
ek),3,1
ven,5,538
otę,182,1
ývl,1,5
187,3,2
"go,15,1
yšu,1,5
oru,212,178
c p,237,97
twu,28,1
obč,1,60
anż,11,1
ą b,303,1
u 4,2,1
ů j,1,31
ešť,1,23
-fé,1,2
ivš,1,4
216,2,1
ako,619,1020
511,2,1
 zú,1,15
yd ,15,1
asa,340,47
ěři,1,178
ryv,1,2
 „u,2,1
kne,136,105
ché,2,34
ź a,4,1
ávu,1,138
zia,3063,1
mpl,113,15
 wz,577,1
ąsł,10,1
šov,1,29
jti,1,2
ń n,69,1
jis,3,244
taś,5,1
aer,2,1
ýlo,1,2
ioo,3,1
 né,1,7
j —,1,2
ećw,2,1
uta,544,86
 rd,8,1
něv,1,11
yek,2,1
ň ž,1,2
dźż,3,1
hoi,10,1
ofó,2,3
own,589,7
x) ,2,1
i (,3,1
ze…,2,1
jtó,4,1
uj",2,1
a 3,18,1
ź n,70,1
ymr,2,1
opi,685,407
an",2,1
ots,1,8
jśl,2,1
ořn,1,5
"„d,2,1
dar,446,63
m ź,10,1
70%,4,1
ycu,15,1
iya,4,1
zti,1,26
hké,1,18
c é,1,2
zsz,41,1
a ď,1,2
ípk,1,2
iúh,1,3
koś,294,1
ał(,7,1
set,45,292
ż z,2,1
ěch,1,148
ha”,2,1
smd,1,9
uly,1,15
"čá,1,2
alo,231,599
ię",10,1
eří,1,228
uču,1,20
k y,2,1
tut,449,97
raż,345,1
epe,39,13
ýku,1,2
ęst,469,1
jtr,6,1
róć,43,1
"łz,2,1
něk,1,727
wáł,2,1
i h,66,349
 26,7,3
nn”,2,1
zwi,956,1
buv,1,3
ára,1,12
živ,1,414
ome,555,684
óćc,5,1
oun,11,13
nná,1,12
cku,68,39
s 7,1,2
v z,1,87
alp,7,1
átc,1,5
pki,52,2
edů,1,19
yri,3,1
dam,348,10
spl,24,46
pęt,11,1
or",6,1
5 p,8,4
o-l,2,1
ęon,2,1
šek,1,34
yba,399,93
j o,645,173
łal,31,1
l r,12,84
goi,15,5
łes,3,1
nd',2,1
ějn,1,11
l 3,1,3
 oz,67,33
dbi,55,1
ft ,5,1
ske,6,24
ą h,56,1
cez,6,7
tuś,2,1
číš,1,48
vát,1,55
mae,4,1
aňs,1,3
c z,196,65
eje,332,113
ňác,1,2
e-l,2,14
dły,60,1
 łę,2,1
zhu,4,17
"vy,1,202
úzk,1,10
dme,47,1
íjm,1,21
'ch,1,2
bry,487,6
toc,67,4
70 ,8,1
amu,48,43
výp,1,13
iś ,638,1
rmó,3,1
ino,175,147
5 o,2,1
ozó,3,3
tný,1,194
čeň,1,2
ndw,1,3
ńcó,19,1
bun,13,16
jím,1,432
ích,1,280
něž,1,83
kui,1,2
iva,2,69
jší,1,233
úse,1,2
iób,5,1
ar ,109,17
sl ,1,79
ódł,43,1
ýře,1,3
ię;,2,1
błk,144,1
vrď,1,3
ms ,3,2
“ n,1,2
úkr,1,2
gać,123,1
zem,1134,410
mgn,5,1
rzc,71,1
kow,1083,1
łop,493,1
ś c,255,1
jav,9,1
212,2,1
cju,5,1
olé,1,45
lyž,1,11
šež,1,2
ápr,1,3
-cu,4,1
yšš,2,25
dul,2,1
ads,13,7
jcy,3,1
mei,2,1
hee,3,1
kop,127,73
afy,8,5
547,1,2
bab,70,39
ftu,2,4
vým,1,221
"es,11,6
omś,3,1
s 4,2,1
řit,1,291
rní,1,66
síč,1,5
lgn,3,1
jbu,17,1
źbl,2,1
udb,1,79
– č,1,2
de-,1,2
rků,1,9
mkn,249,21
tąd,149,1
nár,1,48
vro,1,36
ň a,1,4
abé,1,4
zęl,39,1
ebi,989,16
łóg,2,1
waż,1233,1
lží,1,26
no",2,3
nnę,4,1
 na,14395,5500
gej,14,1
 ją,514,1
 „a,10,7
čír,1,27
kuń,3,1
fič,1,2
hłę,3,1
ířů,1,2
sin,51,19
emr,1,4
swę,10,1
ů: ,1,3
 dw,908,1
ińs,139,1
drc,1,2
sií,1,2
– c,2,1
cít,1,173
y g,439,4
 te,2,1
yic,5,1
kuc,147,67
ufi,22,1
ixt,2,1
g e,2,1
żyw,394,1
ř p,1,7
adw,36,1
h: ,1,3
adř,1,10
89 ,2,2
ź ł,2,1
 zą,29,1
w o,482,1
 wh,22,6
sex,5,32
d f,22,10
ą 7,3,1
– i,3,1
měn,1,273
og ,8,1
„zu,2,1
 cl,3,3
ł b,273,1
ilí,1,33
ěck,1,10
ą 6,2,1
-7 ,2,1
uti,5,50
říj,1,102
j ř,1,3
ríš,1,2
es ,323,803
rly,2,5
rbą,3,1
imk,1,8
gró,60,3
czs,2,1
; ś,2,1
ykę,106,1
00 ,137,18
jam,55,2
zhy,1,4
oto,768,590
rsk,121,87
š ž,1,23
oph,5,1
