Quadgram,spanish,portugese
õs v,1,2
ñé h,6,1
piz",3,1
 enk,3,1
aí v,1,20
a «l,4,1
cle;,2,1
eglá,19,1
s 26,3,1
n gé,11,1
 klo,2,1
 27/,1,2
 6 l,2,1
orba,151,1
fecí,11,1
cy r,3,1
sepá,10,1
iópt,5,1
fu y,3,1
"imi,1,2
rmki,1,2
ublê,1,3
"¡zo,2,1
rębo,2,3
"¡ig,3,1
ibo:,1,2
elvá,3,1
 udo,2,1
adeu,3,86
díli,4,1
lá m,27,28
kman,3,2
r: l,3,3
"¿pa,44,1
agañ,2,1
fim),1,2
 ''v,1,2
evea,7,1
ó bu,10,5
bero,91,20
sagu,4,16
otta,4,1
"nei,1,2
-0 e,2,2
á ás,2,2
calq,2,1
dija,5,3
ça f,1,77
obez,2,1
sovo,4,15
shis,11,5
hirs,1,3
ravá,1,3
sta:,8,7
east,17,4
üeta,2,1
uruf,2,1
ende,3813,5639
pici,24,8
lldo,5,1
rgic,85,70
rbaz,3,1
tuch,21,5
ua11,2,1
 e j,1,227
as-t,1,9
vant,924,795
”"de,1,2
gi m,1,5
to- ,2,1
mi v,621,35
 60 ,19,20
apúr,28,1
alki,4,1
 boj,4,5
»tú ,2,1
rreh,4,1
 gót,7,11
yedo,6,1
ása ,1,2
féit,3,1
ê mu,1,46
as m,3441,3709
 fuv,1,5
em ",1,22
 o w,3,39
¡aba,8,1
ta"v,2,1
spiá,4,1
-ot”,1,2
 ipi,2,5
óbol,2,2
kin ,7,3
enér,17,17
 tol,117,211
nda",3,4
onal,987,696
i""",1,2
" li,2,1
zcoc,10,1
iñen,7,1
 “va,1,4
a 35,4,3
loq ,2,1
án y,38,1
ai-s,1,9
i ne,101,200
-ver,5,32
cia ,1,2
l cd,6,2
wbac,2,1
ocim,222,2
1948,3,6
ágil,33,34
ze v,1,13
úcra,2,1
lgên,1,4
ú oc,2,1
oeça,1,2
; - ,1,2
«vol,3,1
nbar,1,2
álge,4,5
lmiz,8,1
-1 c,2,1
iert,2174,1
conq,62,147
sir ,1,6
ntó:,13,1
ngen,224,152
ibír,2,1
 pej,2,2
ão ú,1,21
iê t,1,2
múni,9,1
ulat,21,13
í si,57,3
n 57,2,1
susp,134,316
fã t,1,2
ty d,2,3
m xi,1,6
 euc,14,14
ey p,28,4
j pa,6,1
raxe,1,5
6 ju,2,1
rméi,2,1
ayes,4,2
oftw,48,36
bóbo,1,12
dora,890,728
quag,1,4
eris,48,27
é sã,1,8
fubi,2,2
galí,4,3
tías,34,1
2-56,2,3
colb,2,1
lbru,4,4
lacô,1,6
 gre,96,389
sobó,2,1
45 a,2,4
sust,379,466
pe-a,1,2
o âm,1,8
ymru,1,2
ora”,1,2
rutá,2,1
t er,5,7
emik,2,1
rim ,2,23
neok,2,2
kiki,3,2
uda;,4,1
 háj,1,2
mia”,1,2
hido,5,70
orof,6,4
""; ,7,7
ne e,730,148
cd) ,1,3
lvám,4,1
rteb,23,8
dulc,309,2
im –,1,5
logê,1,2
ame),2,1
iem-,1,2
e № ,2,1
éis;,4,4
 iv ,3,3
tim",2,1
mpíl,1,2
arro,1162,3049
o-un,1,3
n añ,252,1
ontâ,1,17
rasj,2,1
 tup,16,16
s se,4645,5855
giés,2,1
 nuv,1,159
ai /,1,7
 vib,18,31
ib é,1,2
rén ,2,1
tacl,10,1
módū,1,2
igea,2,1
ium ,2,3
icim,131,1
abrã,1,38
fim",1,2
tó r,30,1
node,2,1
o-o:,1,2
ecks,1,3
evo”,1,2
am (,1,3
s et,18,27
ño r,43,1
oehl,1,2
niép,2,1
uai ,1,11
biéi,3,1
s ar,701,456
"vi ,46,21
walt,5,7
"—¡¿,2,1
¡ja ,2,1
m xa,1,34
inám,14,1
ilbó,6,1
s co,1,2
efrá,10,1
im s,22,100
isba,2,7
u 63,1,2
a b2,2,1
iace,3,1
ajra,2,1
káan,2,1
deja,2336,28
etio,5,1
ncap,114,56
 llu,697,1
"vie,16,5
upto,48,26
0 € ,2,1
r 7 ,1,5
nárs,4,1
sipr,1,2
a-ce,1,2
¿les,50,1
lvac,9,1
15 f,3,5
ekel,3,2
pá q,8,1
lá g,3,4
nza-,1,2
eapi,3,1
ozen,1,2
¡ama,2,1
nú o,2,1
aint,8,11
eo s,83,13
agac,37,14
¿bro,3,1
pé n,1,45
á aj,2,32
oka ,3,4
 anq,4,17
sant,782,708
í vo,6,3
ealí,1,4
utro,19,1825
ja-a,1,3
io-t,4,2
rndl,2,2
this,1,3
d o ,43,1
al 2,4,2
rope,334,286
élhi,1,2
»pre,2,1
o xv,22,38
uaj ,2,1
/ "",1,4
co c,2,2
¡ext,4,1
rogê,1,40
niet,93,3
hica,726,71
ão -,1,7
rae ,193,1
""na,39,120
70 o,1,2
li p,7,38
ónno,2,1
uñal,39,1
lexe,3,3
nfe ,3,1
vigá,1,9
ohr ,7,15
ão s,2,9349
apuc,19,1
eur",1,2
õe-s,1,24
teop,5,3
neia,1,68
gemí,5,1
dway,2,2
8+5),1,2
wale,2,3
 roq,3,9
olfo,26,19
go ú,5,1
izán,6,1
bohe,3,1
a 4 ,5,8
rníl,2,1
merà,2,2
(dos,1,3
saõ ,1,3
 «so,5,1
«hac,2,1
shoj,3,1
mene,162,13
"fal,12,156
ográ,58,88
 adm,420,505
vode,4,1
deсe,2,1
 6 t,4,2
ziri,43,22
nsis,231,212
solí,389,3
u 24,1,2
nah ,1,2
"¡té,2,1
(doi,1,5
ócel,3,2
rómu,4,1
smát,9,19
eu b,1,459
y h6,2,1
ce p,281,123
rá 1,7,7
 sko,1,2
wago,3,2
rioz,1,8
ta x,1,7
créd,88,124
mece,15,319
meca,38,32
lick,16,2
ndi-,1,13
reu ,1,785
njo-,1,8
¡dam,16,1
fito,3,11
urto,6,123
¿abr,2,1
ndés,116,1
nie ,13,11
 c-4,2,2
iv s,2,1
ttin,2,2
¡o e,2,1
sunc,5,1
r éx,34,1
ngel,279,140
l a ,273,293
 egr,4,1
fiev,1,2
coct,4,2
«¡er,2,1
aide,1,4
 íba,40,1
m e7,1,2
brót,2,1
m áb,1,7
ke t,12,7
vôo ,1,6
hu e,3,1
”tod,1,2
nt u,1,2
y 15,3,1
nut ,1,2
s 14,13,40
d 10,3,1
eepm,1,2
nº 2,1,2
vómi,6,2
"fur,1,2
ú: v,1,2
dáfr,11,1
"¿oj,2,1
ña"s,2,1
terj,4,6
g da,2,2
""¿¡,2,1
co —,1,3
rdég,5,1
 b"",1,2
giló,2,1
n el,10595,2
xagu,1,10
adrã,1,179
huía,5,1
caía,26,23
rben,12,4
ájar,385,1
x ti,2,1
ama-,1,42
 ozy,2,1
 a t,1,2
ablo,522,19
alak,4,1
”o d,1,2
hã i,1,34
huta,4,18
inig,4,4
ari ,23,17
ntór,1,9
ifir,2,1
o-ir,1,7
es ¿,8,1
 21 ,20,27
 hsk,2,1
"aug,1,2
orbu,2,10
otór,4,7
acue,818,1
inaz,4,2
emur,3,5
11 e,2,3
ford,25,30
lazo,109,2
azle,8,1
:"qu,1,2
ckha,4,3
xa-m,1,43
x − ,1,2
id u,3,1
¡naz,2,1
ozac,1,2
scíc,2,1
/ er,1,10
–can,2,1
cir:,9,1
 3d ,2,2
êm 2,1,2
ms a,1,9
mólo,9,4
tudy,2,1
oa c,3,178
beve,1,2
r) n,2,2
aro",5,2
vulc,3,44
-pal,2,1
ke b,3,1
ldío,3,1
losu,2,1
adiq,1,9
sã e,1,6
o eu,21,1240
ywoo,11,8
u íd,2,3
r-od,3,1
o ré,8,29
"kob,2,1
o; d,9,15
fríe,16,1
 49%,2,1
an í,4,1
abrí,534,3
ge u,52,34
d fé,3,1
¿exc,2,1
as 8,37,12
atê ,1,4
stáb,187,11
míbi,1,2
n ár,189,1
belt,6,5
vrin,1,20
1 mê,1,3
fá p,3,6
elmo,7,4
ínsu,23,18
ilsh,2,1
goam,1,2
él f,288,1
comá,15,1
"ido,3,3
bria,44,138
a' c,3,1
l yi,5,1
i hú,4,1
st h,1,2
besa,208,1
nsa:,2,3
no-e,2,1
sóta,55,1
co; ,11,21
raju,6,2
expô,1,7
mizu,3,1
-cel,1,3
ifre,3,30
ea i,63,7
ívat,2,1
us d,321,418
víe ,7,1
larn,15,1
¡da ,4,1
 404,3,2
uoge,2,2
vá-s,1,3
o bl,140,44
é é ,1,49
lymo,2,2
pō"",2,1
utab,26,1
il"d,1,2
soy»,2,1
sbac,1,2
(tec,1,2
és p,162,21
vir:,4,1
fran,2039,3184
ruxi,2,1
jees,4,1
ludó,40,1
fata,58,25
 más,10923,118
eliu,1,4
pugi,1,2
m as,33,1372
s(as,1,4
leig,1,3
olue,2,11
"a: ,2,1
nfos,4,10
lsór,1,3
ihor,4,1
¡de ,31,1
cogí,67,1
i al,1,2
zeu-,1,3
"odi,43,5
olvé,30,1
 yef,2,1
ú ju,5,2
fán ,4,2
omai,1,8
1868,1,4
a-io,1,2
baty,2,1
deti,14,41
fueg,356,1
onbu,2,1
ícei,1,97
ili",2,1
 nex,1,2
ixio,1,8
ar ó,7,21
tegí,4,1
nyah,1,3
pc e,2,1
jur ,3,5
su p,1967,1
 lop,4,6
ta c,2421,1560
lpud,5,4
o íg,2,1
dorr,23,8
rdos,215,63
nós",1,2
buya,12,2
m pr,119,2369
ali",1,2
yomi,3,5
íver,11,5
azál,1,2
idop,1,2
eizi,1,2
ck w,2,2
gic:,2,1
nsiç,1,8
 oví,4,5
88 l,2,2
'"se,1,2
"rev,10,6
gond,3,2
 ¿ot,2,1
hopk,3,4
 xxx,5,6
sság,1,11
je v,6,61
a “l,1,3
hay ,5432,1
ebés,50,3
líbe,1,2
i dn,2,1
e nê,1,3
am -,1,2
"tác,2,1
f em,1,6
jars,96,1
ã dá,1,2
ceta,113,11
n cé,20,1
bet",1,2
"riq,1,2
su c,1993,1
u cd,3,6
polp,1,4
ayat,4,2
ocás,2,3
rra！,1,2
mccl,2,3
çin ,1,2
me s,1328,1014
-exp,2,2
ba 1,1,2
oyev,2,1
güém,3,1
ndí ,287,1
e hi,1416,151
sce ,1,112
 adi,229,541
comê,1,27
reím,29,1
zanc,17,1
otó ,111,1
benc,17,1
iz à,1,3
r ib,5,1
 oíd,473,1
 ¡hu,2,1
p3 d,3,1
huxl,2,1
exes,3,6
jó l,104,1
alo ,627,745
poke,8,6
tão),1,2
 13º,1,2
rrás,14,1
 luc,495,66
ó; e,2,3
 5 °,1,2
yarm,4,1
iuda,1505,2
ó rá,52,1
ralt,7,7
cha",6,2
aldí,5,1
 ya/,2,1
ajoe,2,34
élix,7,2
e hy,5,6
s oí,157,1
brés,2,1
o zz,1,2
:"el,1,3
rocr,24,31
uma ,1,2
"rut,3,2
 (fe,1,4
-18b,2,1
peao,1,2
¿rop,2,1
-e q,2,1
ĝojo,1,3
t o ,5,3
te l,3382,1084
tewa,4,2
rtês,1,11
lê s,1,4
zvan,1,2
kar",1,2
ngfi,2,1
"íco,1,2
osex,46,1
 1 é,1,2
t""),1,2
ás é,22,31
güet,2,1
orbé,2,1
abul,90,174
7 ha,4,1
25 d,10,11
meop,1,2
lto ,658,526
ropo,184,526
serr,20,54
ó 67,2,1
— as,1,3
ny v,1,3
”"es,1,5
lity,4,4
ctuo,17,1
esos,613,92
u 65,1,2
ima–,3,1
n ás,3,1
polk,2,2
uerí,1625,98
m 46,1,2
iñad,14,1
e ¿d,2,1
báis,13,1
 ¿bi,2,1
rev ,2,2
unfó,6,1
arub,3,3
riju,1,2
¡esp,46,1
um x,1,18
imiu,1,15
2 po,4,6
yaku,4,2
ño e,448,1
oldb,2,2
õe ó,1,2
m si,266,629
seól,1,3
ingú,690,1
75 p,1,2
e «p,2,1
róma,7,1
z as,7,64
ifér,2,1
»com,2,1
uplo,2,23
 — d,3,19
ácic,5,2
egún,373,1
ca à,1,42
nvól,1,2
añin,24,1
andr,129,128
160 ,5,3
 u o,49,1
 ""i,53,78
z op,2,1
o—el,1,2
laom,1,2
 ''t,1,2
émem,2,1
l of,27,8
 dyl,3,1
 lá ,1,1066
s 85,4,1
 km2,1,2
"un ,395,1
c si,2,1
sale,418,13
goma,42,8
iará,91,23
ecor,494,261
¡pin,2,1
za i,28,23
ú ar,4,1
; ad,3,2
ródr,4,1
roxí,1,2
lacr,28,21
funi,1,4
drág,2,6
 yod,3,1
zna;,2,1
ó vó,1,2
n jú,2,1
soñó,17,1
ie m,219,16
asai,3,14
à is,1,2
ín m,14,1
cíds,3,1
l' a,1,2
"lav,9,14
déri,2,1
 sic,7,22
blos,111,5
obog,4,2
cou:,1,6
te â,1,3
topó,10,3
o hã,1,2
omôn,1,3
ctán,10,1
ucar,115,143
toe ,1,5
ichl,2,1
 ani,956,1366
anún,1,35
l ps,15,2
a-lí,1,3
bven,4,1
u-a-,1,2
o et,15,41
amél,3,2
 teo,171,191
(nov,1,2
hrey,1,2
des ,4340,1488
rrog,93,89
erov,2,1
iume,1,40
gas-,1,3
 hán,6,1
eset,16,3
ober,215,386
¡imp,6,1
ó ún,2,1
peéi,2,1
z ró,1,2
ice",2,1
igra,151,100
uiñó,7,1
) vi,1,2
líma,2,2
cisc,42,30
án b,104,1
olof,2,4
é ga,25,41
hend,3,33
ga e,386,191
"saú,1,2
opús,1,4
'aqu,2,1
o-a ,1,31
álef,2,3
enup,2,1
n tz,2,1
nou ,1,1031
écor,35,1
lueg,329,1
són:,2,1
k re,2,2
tamn,1,4
ngvo,2,1
leid,4,2
as n,2076,3799
liás,1,37
arát,4,59
-fab,1,2
né n,8,5
-ing,6,6
cchi,2,1
ck l,9,3
erió,287,21
jert,2,1
"tad,3,1
 396,1,2
tó c,211,1
záis,4,1
tago,30,37
ssás,1,4
colm,57,25
-mec,2,2
aadu,1,2
lcol,1,2
noce,1443,142
keik,15,13
ía 4,5,1
doja,7,1
sári,1,979
zerb,2,8
)) a,1,2
olom,45,76
20 k,4,1
cárc,132,6
ba –,1,3
hime,37,11
cóme,23,1
nour,2,57
h wö,2,2
hesp,1,6
"kai,2,3
/ mo,1,5
”par,1,2
taqv,2,1
-mo-,1,2
rda ,508,451
to r,252,509
e: u,8,3
cal;,2,1
tos",14,4
nqué,5,9
olph,1,2
rma-,1,17
-me;,1,2
th h,7,2
rena,377,83
sigi,19,9
smíd,1,2
mazó,15,2
"cír,2,4
'""",5,2
lioe,1,2
¿imp,2,1
i às,1,81
z ab,4,11
uve ,742,273
toky,8,7
ete ,934,762
sica,1049,1367
cast,441,376
aci ,3,3
"muj,3,1
imá-,1,14
ueso,289,1
 ace,1589,1117
 sul,13,247
exív,1,35
rmol,14,1
jörk,2,3
ozón,6,1
m ró,1,3
giên,1,20
culo,772,933
elá-,1,2
mã; ,1,3
ças;,1,4
un l,1300,2
igda,1,2
nase,14,1
 lác,34,29
t-ve,2,1
oeth,6,8
oabe,1,2
agái,21,1
it é,1,5
s i ,4,3
ú am,3,1
cel ,40,12
ecné,1,2
anne,42,44
ruz:,2,1
 138,1,2
co n,162,305
xa-l,1,2
(pir,4,1
juku,9,4
suti,19,28
é mó,1,2
l ph,4,1
vie-,1,16
; yo,10,1
nthe,1,4
resd,3,1
¡brr,5,1
lonj,4,1
oda ,1293,1138
- y ,2,1
hany,1,4
an c,1417,18
oo q,2,2
mov ,2,1
ze a,1,170
/ le,1,11
htch,7,13
raun,6,4
do-o,1,92
gabl,33,1
os s,5452,4946
erap,32,33
deio,1,281
l in,1152,66
vi ",1,2
ximu,1,2
guay,66,3
casc,103,85
delí,1,25
2 ma,2,1
n bc,2,1
nukt,2,1
"¿mi,4,1
klav,8,1
cia»,2,1
bélu,19,8
epmi,1,2
ipe",3,5
traa,6,1
jaja,11,1
paté,30,10
s ox,3,1
"põe,1,7
riña,20,1
asla,41,5
on i,429,8
ng-s,2,1
ldo:,2,1
rshm,1,2
vá p,1,114
rê f,1,2
ás y,152,1
u má,16,7
14 v,2,1
301 ,3,3
zigu,1,17
siê ,1,3
nia",4,5
saic,5,4
á gá,1,2
ígal,26,1
ogam,9,156
obot,80,2
lacc,2,1
ubot,2,2
rupç,1,38
ande,1708,2605
e bi,633,270
eña),2,1
rofi,16,158
 7/8,1,2
"trê,1,31
dé f,5,1
—no ,5,1
754 ,1,2
etaz,37,1
o"eu,1,3
júli,1,51
 já ,1,3821
0 pr,5,2
-cir,1,2
d ep,2,1
é 39,1,2
za f,45,27
búje,5,1
umbe,24,12
glem,2,1
róse,1,7
ntuj,2,1
dgin,2,3
vete,200,204
staç,1,566
“ili,1,2
saka,85,32
murm,41,22
njeá,1,2
imc ,2,2
7 bi,3,7
""ey,1,2
í y ,145,1
oi e,2,669
20 t,2,2
coça,1,36
omio,8,2
é cr,81,81
cedm,2,1
y ti,293,51
uy c,644,1
 -¿n,2,1
riac,27,23
tni ,2,1
yte ,2,1
bazo,15,1
mpo;,13,7
ocap,5,5
820),2,2
»"cr,2,1
"pár,5,2
d"" ,8,4
conn,4,15
 cot,68,50
tilo,102,114
toet,2,1
falk,1,2
am –,1,5
n oh,3,1
az- ,2,1
ri q,7,33
ra ó,3,8
""sa,29,45
baúb,1,2
o od,68,55
coqu,26,10
babi,36,22
j en,16,1
06 q,1,2
oxai,1,2
il j,8,11
ooks,2,11
sién,91,1
un 2,16,1
ure ,26,125
a6 o,2,2
aset,22,1
ivés,1,62
ko i,1,2
 cfi,2,1
fi f,1,2
lleb,1,2
m ch,7,957
¡alé,2,1
e io,3,8
nude,9,12
atin,161,447
rpos,35,47
¡car,15,1
ajo",6,1
ka o,3,2
isen,12,18
anzá,4,1
orav,1,288
esa”,1,2
iba;,3,1
- un,5,3
—exp,4,1
tú d,57,1
rpoo,7,2
emix,1,2
ige ,136,130
elod,52,26
"ado,19,32
á-se,1,9
7 do,1,2
butó,2,1
tríd,1,2
or"é,2,1
o ún,164,373
ga ô,1,3
rvíd,1,2
ve-a,1,5
iev ,2,3
 o o,4,617
auna,11,8
aú n,1,2
mone,248,18
pola,142,60
ció:,6,1
 h-o,1,2
tzi ,1,2
oñam,7,1
pnót,4,1
v ho,1,5
ejém,10,1
os ",33,32
imle,1,2
ib p,2,1
o lí,33,107
temu,1,84
rval,20,79
ão u,1,492
t a ,12,1
chib,3,3
n «g,2,1
eã e,1,3
beu;,1,2
atot,2,2
 987,1,2
s of,86,87
/ pl,1,2
-cen,2,1
nik",1,2
iatr,15,20
a em,791,3670
liat,6,2
r dã,1,2
arôs,1,2
as o,1015,1406
pao ,2,2
iwam,2,1
m) /,1,2
us ó,16,101
 qae,3,2
udaç,1,27
ão z,1,31
ebi-,1,6
l ni,609,8
lme-,1,18
tim ,12,96
m-ap,1,2
rajé,3,3
scac,22,1
"açú,1,2
tidm,5,1
níxi,1,2
adio,286,43
ovig,2,1
a-do,1,12
oz e,66,29
movi,280,260
rafã,1,6
molq,4,1
oray,3,1
ifo ,29,2
ock',2,1
 iai,2,3
— mi,2,4
rréi,6,1
xvi ,3,7
 pró,606,1899
iton,9,17
búrg,1,26
çoou,1,27
bime,1,35
pelí,790,5
onmu,10,1
udee,2,1
 cáb,1,2
s ñu,2,1
sínd,16,8
tv t,1,9
efix,1,6
nrar,5,10
ó ol,3,12
utmo,2,3
jona,13,5
 «la,14,1
 súa,2,1
oenl,9,9
parã,1,3
um j,1,430
chwa,5,8
/tat,2,4
ka s,4,5
paiz,1,2
breo,57,1
h6"",1,2
r sâ,1,2
tipa,19,11
mpão,1,11
e bá,12,6
ecar,80,68
payp,1,2
à fr,1,79
unes,482,18
reíb,168,1
xo l,2,4
ns d,6,579
4 32,2,1
wf é,1,2
rt f,1,3
idel,23,19
rtej,14,9
anfu,4,1
urry,15,8
rner,29,7
"ojo,8,1
th t,8,6
cy a,2,2
f na,3,7
uríb,1,2
rógl,1,7
doça,1,10
 zeu,9,8
ced ,41,1
¡vig,2,1
neto,13,142
obás,3,1
 '/',1,2
xila,12,18
d fr,12,1
ntif,92,97
ceia,1,23
cen",2,1
 é c,1,1795
 peõ,1,24
dalt,24,32
yde ,3,3
apau,1,2
etao,1,2
»es ,5,1
