Quadgram,polish,czech
uchý,1,25
 lil,6,2
 zaj,539,133
ěhlý,1,2
dźca,4,1
gnęl,12,1
í um,1,14
 ""s,15,3
zji ,56,1
pazn,14,1
k is,6,1
abyw,3,1
 wid,843,1
j dz,116,1
w ot,9,1
knąc,3,1
eods,1,2
notó,1,2
achs,3,1
neún,1,4
rszą,16,1
aś) ,2,1
orę ,48,1
kego,2,1
 děv,1,24
ší u,1,12
u lá,1,10
álíč,1,2
żewo,2,1
dobn,331,77
i 10,14,3
nádh,1,18
nsu ,42,1
z pn,1,2
etma,1,2
lkam,7,3
saná,1,4
í vý,1,24
rent,3,4
iasz,63,1
afin,2,2
b jo,2,1
větř,1,3
ástu,1,4
"chł,35,1
něm ,1,21
ů po,1,14
vopi,1,3
a wę,15,1
ideą,3,1
z de,14,3
kach,156,21
os b,2,2
 scz,2,1
muse,2,279
dí h,1,4
kaji,2,1
zkoc,19,1
"sně,1,10
ekką,9,1
ay ż,2,1
"své,1,3
łach,26,1
koić,13,1
jnę ,9,1
prox,2,1
utem,8,37
pu r,2,1
runi,2,1
buzn,1,18
ły c,96,1
h z ,41,24
ć pą,2,1
-ski,2,1
ři b,1,6
lena,18,19
- ja,13,1
ower,187,3
arły,14,1
stař,1,20
umná,1,4
dacy,2,1
ądz",2,1
vičk,1,9
ry u,36,54
i pł,49,1
piew,284,1
kují,1,12
lib ,1,12
ávat,1,97
ás j,3,16
l zr,2,18
dumy,2,1
uacy,2,1
"w u,10,1
muře,1,3
běžt,1,5
bcho,73,66
ovus,1,2
powś,7,1
ulin,7,1
uříz,1,4
šuka,1,7
kspi,12,1
 10:,7,3
páni,1,6
mayu,14,1
pu n,6,6
mbec,2,3
 zpá,1,39
zanu,32,1
bo d,10,12
mého,1,95
š pí,1,7
ů si,1,3
ď um,1,2
by ",2,1
zývá,1,10
ém p,1,65
upię,29,1
eží ,1,45
 – d,2,1
ą bi,25,1
hank,5,2
ąc 6,2,1
nse ,14,1
ucyj,3,1
arb ,4,1
í tu,1,15
ji j,35,58
ołu ,7,1
 laš,1,2
ą dw,33,1
ns s,2,1
voký,1,3
 (22,2,1
czam,88,1
átov,1,7
zauf,82,1
żand,3,1
umbi,6,2
odlo,8,32
ob g,3,1
rdci,1,6
etám,1,2
5 pr,2,4
lują,8,1
ry i,49,4
glia,7,1
częk,4,1
"tím,1,5
sout,1,9
pupe,1,2
jčil,1,37
podl,38,81
pě s,1,2
ęnie,5,1
iuma,2,1
ć sł,46,1
hobo,2,4
z zł,14,1
 fyz,1,10
znać,186,1
žejí,1,5
 i d,128,7
sovy,1,7
udná,1,11
rry ,11,2
rlun,2,1
ia 5,2,1
alić,99,1
jaw ,6,1
bukw,2,1
pał ,100,1
erkn,6,1
sę a,2,1
 mcm,1,2
kaku,24,2
ntku,1,3
""ji,7,3
urdż,2,1
notá,1,2
orps,2,1
boro,4,6
odi ,1,2
osmi,25,6
łam ,792,1
zes ,8,1
iegn,46,1
slná,1,2
irta,2,1
eksm,2,1
vřed,1,2
orká,1,5
scam,4,1
zsze,17,1
uj h,3,1
 zpu,1,3
ężne,7,1
 vis,2,13
zors,6,1
í as,1,5
lásí,1,4
 bsn,2,1
zabi,256,106
cizí,1,52
isky,8,9
uť t,1,5
cy m,99,3
láče,1,30
lvy ,1,5
ciwi,91,1
sere,10,7
utné,1,38
zazv,1,11
kiel,15,1
čivá,1,2
 pše,1,6
ć tą,11,1
rsi ,14,1
y dv,1,44
ždím,1,13
ební,1,32
 mok,37,18
łądk,18,1
hały,14,1
ik r,3,8
 dův,1,118
u s ,1,74
ą sm,9,1
ou b,1,80
usel,1,199
 sně,1,114
 giz,2,1
ć on,2,1
ieef,6,1
­ko ,2,1
 spł,2,1
m ne,4,1301
łci ,2,1
exto,1,3
: „b,1,2
yt v,1,4
tęto,2,1
 asa,4,1
čí f,1,11
ádo ,1,3
w uż,9,1
lipi,7,1
ž ví,1,20
érka,1,2
częł,177,1
w eu,36,1
ěroh,1,2
ná f,1,3
ede ,35,87
yhna,1,3
eę m,2,1
iotc,3,1
 klo,6,42
 6 l,3,1
orba,25,1
edný,1,7
ůžou,1,10
cy r,23,1
"imi,2,1
é zk,1,8
)trw,2,1
l: j,2,1
h zn,31,9
kolé,1,4
dużo,602,1
valč,1,2
skwi,9,1
kerý,1,4
ři p,1,27
 udo,22,3
m zú,1,3
lá m,1,6
kman,2,1
norw,12,1
r: l,2,1
muči,1,6
ożsa,10,1
ść m,2,1
ynic,5,4
t gl,2,1
vzdě,1,18
wy z,56,1
ypki,7,1
izic,1,2
uje-,1,4
 „ho,1,2
ułap,11,1
bero,1,8
duhu,1,5
 lyd,1,2
"nei,2,1
otta,4,2
obez,4,3
zpra,14,7
shis,2,1
al ř,1,10
sovo,1,7
ravá,1,12
grza,16,1
hodí,1,211
łny ,5,1
łgał,4,1
east,3,1
 způ,1,87
ende,30,5
tewk,2,1
itną,18,1
eohl,1,2
pici,79,10
hódw,2,1
rgic,7,8
tuch,10,2
g wj,2,1
od 4,2,1
ý mo,1,12
minę,67,1
ówi:,2,1
vant,1,3
gi m,7,1
mi v,1,153
k iś,3,1
 60 ,6,3
děli,1,194
alki,25,1
ň to,1,9
 boj,43,125
ása ,1,8
ól i,9,1
em ",3,5
dýli,1,3
as m,33,10
 o w,158,1
hu i,3,2
"„ki,2,2
íško,1,2
kin ,8,1
ywyk,24,1
emýš,1,72
enér,1,9
 tol,17,93
onal,63,39
""tý,1,2
i""",3,1
twoj,882,1
moči,1,8
píči,1,2
 zre,66,3
"čtu,1,4
"rur,2,1
a 35,2,1
kurc,36,1
chęć,13,1
ikoh,1,85
ka k,73,7
i ne,4,804
olew,6,1
íkop,1,7
ocim,4,1
edmk,1,3
1948,1,2
á zp,1,11
ów h,5,1
ze v,2,37
ž z ,1,2
ávka,1,22
any ,548,12
ucyk,7,1
 řeč,1,44
ě va,1,10
(już,2,1
ie -,15,1
iert,32,1
widl,2,1
sir ,3,1
ůž a,1,2
ć sw,221,1
mírn,1,23
ibír,1,2
 pej,3,2
ulat,16,4
í si,1,39
árky,1,16
susp,1,2
ty d,59,48
 głó,72,1
náto,1,2
raxe,1,4
j pa,94,4
dąca,12,1
ukr ,1,8
 nák,1,47
łapk,11,1
uck”,2,1
0% t,2,1
bník,1,18
oftw,1,3
dora,35,58
jď v,1,3
eris,1,4
ám a,1,24
"pís,1,2
gę t,106,1
iu-w,2,1
„wyn,2,1
obí ,1,15
rnkl,1,2
"stv,1,2
lbru,2,1
 gre,45,5
uživ,1,7
sobó,9,1
á ří,1,9
stój,13,1
rutá,1,7
sią ,11,1
 foť,1,6
emik,7,2
neok,1,3
lówk,9,1
ękit,10,1
kiki,2,2
t er,1,2
rim ,1,2
pożą,7,1
rwot,13,1
 háj,1,4
hé o,1,5
běhu,1,12
hido,3,1
hę a,3,1
zorů,1,2
ahvi,1,5
ne e,6,2
řata,1,39
 koň,1,2
idst,1,10
wały,95,1
áłbi,2,1
erz ,102,1
ě čt,1,8
zagł,17,1
iem-,2,1
"czł,38,1
„dzi,7,1
tim",2,1
sy č,1,2
ý cí,1,5
 jdě,1,3
"tuh,1,6
żnąć,2,1
y ml,3,27
 tup,8,5
s se,3,114
ajdz,54,1
ż up,5,1
 vib,1,3
że e,4,1
t ję,15,1
ą/ęł,2,1
je ć,2,1
ła ż,30,1
gnió,2,1
ium ,25,12
zhle,1,12
"kła,5,1
"k n,1,3
node,1,2
"dał,41,1
louč,1,40
am (,2,1
ęgry,4,1
azwa,40,1
żel ,2,1
ń tu,4,1
u ků,1,2
s ar,2,2
rm s,3,1
ńszc,7,1
aelš,1,2
zwi:,2,1
rek),2,1
ý sl,1,15
tříc,1,3
ką j,15,1
ż oł,2,1
kwoc,2,1
inám,1,23
r uś,2,1
im s,203,6
zegł,20,1
isba,2,1
hlo ,1,47
č on,1,2
iace,1,3
żyni,28,1
tą e,3,1
: gi,2,1
 eki,4,1
etio,1,2
zvra,1,21
zżół,3,1
ěr s,1,6
msti,1,3
bet ,8,2
ekel,1,3
láčk,1,3
useł,2,1
ug g,5,1
tíž ,1,3
říži,1,23
ře č,1,5
zlen,2,5
ozen,4,102
 dżi,14,1
kine,2,1
ádky,1,19
aint,92,1
śmin,2,1
agac,2,1
msty,2,4
j ch,187,6
oka ,23,6
zyję,137,1
uzat,1,3
sant,3,1
irc-,2,1
dím ,1,175
2 ty,5,1
í vo,1,24
utro,483,3
'sub,2,1
ższo,2,1
nčoc,1,2
rndl,2,1
ygło,18,1
this,2,1
d o ,7,4
ypną,2,1
rope,35,1
u pů,1,7
ł rę,21,1
motř,1,2
k zd,24,5
niet,26,1
hica,17,4
wuję,13,1
sisz,447,1
uř z,1,2
ętoś,3,1
izną,11,1
""na,74,33
li p,230,154
lexe,1,2
eg z,7,1
apuc,2,1
sníř,1,2
tłoc,21,1
ąć 5,4,1
teop,3,1
 zři,1,2
lizg,8,1
zu ú,1,2
wale,31,2
ędę ,2,1
itě ,1,149
íšil,1,3
i mě,1,193
olfo,4,4
bohe,1,10
ík o,1,6
"tut,15,8
(dos,2,1
pnýc,1,2
céní,1,2
ilmw,2,1
é v ,1,15
zebę,6,1
mene,8,25
tihl,1,20
"fal,2,2
 vyb,1,82
ýkon,1,5
ím g,1,3
neoč,1,4
 adm,7,1
krzy,262,1
vode,1,7
y šu,1,2
3 ro,10,2
o kt,2,1
 6 t,2,1
ziri,4,1
t pí,1,3
u 24,3,1
solí,1,3
e sł,324,1
k ga,4,1
naďa,1,22
změn,1,173
párk,1,2
eu b,1,2
smát,1,25
go 7,2,1
avdi,1,18
ce p,162,118
ey ż,2,1
 zaš,1,9
 sko,501,165
wago,4,1
dzon,143,1
mece,2,1
o ży,140,1
d wo,11,1
łka ,87,1
lick,6,125
 idą,39,1
óz w,2,1
fito,5,2
urto,3,1
ť mi,1,10
nie ,23501,7
iv s,1,11
ślił,25,1
uraj,3,2
ňce ,1,2
l a ,1,80
ngel,6,3
tuov,1,2
c ov,1,2
“tad,1,2
 v u,1,9
ý hl,1,41
brót,3,1
"sli,1,17
rcow,5,1
dynu,42,1
ků j,1,7
ke t,1,3
hu e,1,2
nt u,10,1
nut ,66,22
y 15,3,1
yj u,2,1
xty ,1,5
ízli,1,10
dz m,89,1
wlaz,2,1
) vž,1,2
kodí,1,9
 95o,2,1
d 10,14,1
zpią,3,1
di ř,1,3
g da,4,1
k zr,23,3
rużb,2,1
'ego,20,1
nury,4,1
n el,2,1
atwe,40,1
ji v,1,105
ěc a,1,4
pcow,3,1
tą -,2,1
lá č,1,4
ař z,1,3
unow,3,1
ablo,23,17
alak,5,2
řiby,1,2
bawę,9,1
isz:,6,1
vicí,1,2
huta,2,1
l'or,1,2
yiny,1,2
ari ,5,4
sznu,12,1
rynt,4,1
dba ,3,13
 21 ,2,1
"omd,1,2
bawi,270,1
 wbr,18,1
zkuł,2,1
ą su,44,1
orbu,3,2
ękos,2,1
utiš,1,4
zmař,1,6
my „,2,1
inaz,2,1
ć je,258,1
ford,17,1
lazo,13,2
azle,1,2
ckha,2,1
rszy,160,1
id u,2,1
słud,2,1
ozac,3,1
scíc,1,2
0€ d,2,1
60 o,4,1
kibo,2,1
ámov,1,2
dany,35,1
tudy,2,5
m ož,1,4
mliw,2,1
roťa,1,2
z zm,16,1
-pal,2,1
ke b,4,2
přec,1,39
dę s,121,1
czek,861,1
ra ź,2,1
losu,8,1
"hod,4,22
służ,76,1
adiq,2,1
čech,1,6
o eu,22,1
reań,22,1
izbo,3,1
ywoo,3,1
jmou,1,29
"kob,24,1
ů um,1,2
azko,3,1
ge u,2,1
bu ż,2,1
áhnu,1,3
scyp,11,1
rą j,10,1
 oże,49,1
č si,1,37
ż te,56,1
elmo,3,1
cy i,30,1
bria,16,3
krát,1,233
gałe,17,1
ěl m,1,40
žnou,1,3
apno,1,2
st h,32,18
ślal,2,1
 vsa,1,5
zvál,1,2
raju,114,14
ubić,32,1
mizu,2,1
ytnę,2,1
ezni,3,9
enii,5,1
bě b,1,8
nazw,163,1
ívat,1,121
”"zn,2,1
us d,8,8
larn,103,1
zdec,164,3
o bl,23,15
čet ,1,29
ě es,1,3
hápe,1,31
pým ,1,4
t ža,1,2
m zz,4,1
ć do,4,1
iwia,85,1
fran,588,350
 był,3445,1
​tom,3,1
źbio,3,1
zí o,1,3
d sk,10,3
ízcí,1,3
ludó,2,1
fata,5,1
ul w,4,1
 más,3,15
k żl,3,1
eliu,1,2
m as,9,16
kývn,1,2
użaj,3,1
í ct,1,2
ížku,1,27
zváz,1,2
ttsk,1,2
dvoř,1,16
ycaj,5,1
wpak,3,1
k or,7,1
e kv,1,27
zící,1,2
kłoś,11,1
püke,1,2
gnil,4,1
baty,55,2
epok,43,31
zały,43,1
nesr,1,4
nápl,1,3
uvni,1,20
bá l,1,2
káva,1,54
khol,3,3
ł zw,21,1
iwu ,3,1
"z k,9,1
oupy,1,2
ili",1,2
icje,4,1
ě in,1,9
zyło,179,1
oť l,1,2
zł m,21,1
su p,23,8
ezę ,14,1
 lop,1,5
ta c,64,6
 kıv,2,1
o ek,10,1
ś on,2,1
ůkla,1,4
ę st,331,1
píry,1,5
"zmý,1,2
równ,317,1
buya,2,1
m pr,1023,319
le'a,4,1
ali",1,2
otéz,1,4
yomi,2,1
ś te,86,1
chyc,4,3
opne,19,1
w ml,4,1
sadn,20,1
artę,19,1
cjam,16,1
ck w,4,1
 ví ,1,9
í oz,1,3
gł m,38,1
máry,1,2
ěsts,1,6
ę ta,266,1
mą ś,2,1
"žíz,1,2
hopk,4,1
 xxx,2,1
je v,2,809
to š,1,35
uvy ,1,3
líbe,1,73
i dn,7,55
ugao,2,1
am -,2,1
vyru,1,9
ěvče,1,18
wiór,42,1
lądó,12,1
buť ,1,2
ba ř,1,5
ceta,12,1
syry,2,1
su c,13,2
čtet,1,6
mtud,1,6
n kb,1,2
owic,85,1
luźn,18,1
çin ,3,1
me s,7,502
flám,1,2
snil,2,19
e hi,19,7
sce ,108,4
 adi,2,1
nelz,1,11
eż s,34,1
ít j,1,26
íbeh,1,2
zięz,2,1
łna ,21,1
oraź,2,1
dl u,1,5
dżi ,3,1
łoje,2,1
ą śm,11,1
sl z,1,2
šavě,1,2
czor,868,1
azdę,8,1
 tłu,119,1
rykn,2,1
alo ,2,283
ł zn,47,1
poke,13,3
enao,1,2
 luc,11,4
slí ,1,23
eči ,1,4
b za,22,2
azeč,1,2
ydać,17,1
ralt,2,1
e hy,5,7
"okn,1,2
o zz,3,1
„jse,1,2
řívá,1,4
zkov,1,5
lę m,13,1
úbec,1,2
wroc,12,1
t 2:,2,1
ž se,1,232
at k,10,57
lę p,33,1
t o ,44,78
te l,13,21
tewa,7,1
zacj,61,1
guję,12,1
nża ,2,1
emoz,2,1
zvan,1,6
c tw,2,1
zy"",3,1
ódłe,7,1
osex,1,7
fą n,2,1
ły p,137,1
ý se,1,43
meńs,4,1
 zaż,28,1
entk,19,13
ail',3,1
g lu,2,1
ugni,2,1
abul,3,9
25 d,2,1
smu ,2,2
ropo,161,2
ażes,5,1
ór b,4,1
ázor,1,72
ny v,1,28
lity,133,4
esos,1,3
u 65,4,1
vrhy,1,2
dcze,85,1
emaw,13,1
ápad,1,95
ą ek,3,1
polk,8,7
udál,1,16
oczo,180,1
vyte,1,2
asbí,1,2
drym,5,1
rev ,1,5
h gw,6,1
arub,1,6
"o č,1,3
j zd,33,6
otrz,1022,1
 2 r,2,1
za 3,7,1
łeć ,2,1
hlin,1,2
yaku,2,1
cty ,1,2
d c ,2,1
— do,1,2
m si,1334,829
etaj,2,3
itkó,3,1
berk,5,2
omův,1,117
ą ne,3,1
ovoř,1,29
ywem,17,1
é cv,1,3
ś rą,2,1
ousk,1,10
ichk,4,1
iakr,5,1
uplo,1,2
ěc n,1,7
 — d,1,2
łosu,26,1
ýraj,1,2
ośna,6,1
usną,10,1
"sia,4,1
onět,1,13
z op,19,3
andr,18,6
160 ,6,1
 ""i,4,1
 u o,2,6
i uś,8,1
m zl,3,8
émem,1,7
riéř,1,3
 dyl,3,1
wpis,16,1
oisk,10,1
upcj,4,1
ínsk,1,21
c si,77,17
nonu,1,2
j čl,1,3
goma,2,1
za i,38,4
odbý,1,2
ím s,1,463
 vyh,1,211
lacr,2,1
czpo,2,1
funi,2,1
usít,1,67
bawk,21,1
jżyc,2,1
ie m,4491,16
esby,1,3
ię r,246,1
ględ,70,1
eź z,5,1
ą no,109,1
ł wó,2,1
cíři,1,2
ýkal,1,5
"k o,1,2
"lav,1,2
 sic,1,6
wami,61,1
áchá,1,5
pę"",2,1
lagą,2,1
egól,48,1
ułma,17,1
topó,3,1
ebił,7,1
zęta,59,1
 drz,2,1
ichl,1,4
"s p,1,4
 ani,216,199
iury,6,1
l ps,2,19
ą ub,4,1
íru ,1,13
o et,1,2
eobu,1,2
 prů,1,58
 teo,55,10
 wsz,1447,1
erzę,221,1
młod,412,1
des ,1,6
oudí,1,4
 žva,1,3
erov,1,21
c he,2,13
diný,1,60
če b,1,6
eset,2,110
zm g,2,1
awim,11,1
ober,13,10
zyńc,7,1
"náp,1,2
ończ,681,1
akou,1,102
léko,2,50
ęty:,2,1
zdrę,7,1
bę k,2,1
z ró,21,1
řevz,1,4
ice",2,1
igra,21,2
vítá,1,20
ě dr,1,12
cisc,9,1
neun,1,7
án b,1,5
dosu,1,37
hend,2,1
žu c,1,2
nou ,1,574
ořte,1,4
ogrą,9,1
"„ma,3,1
k re,6,5
zufl,18,1
wlec,10,1
tokr,7,23
ić j,94,1
álem,1,32
i hv,1,3
uż ż,7,1
ngvo,1,3
vý š,1,6
as n,125,23
tamn,1,3
arát,1,17
uważ,537,1
né n,1,39
utyk,5,1
cchi,1,2
něn ,1,22
erió,2,2
eł i,2,1
"tad,1,24
ża b,4,1
jeżk,2,1
tago,3,1
ś wł,20,1
ž em,1,2
ioon,2,1
mn n,3,1
noce,8,23
keik,9,1
věje,1,2
doja,4,5
ówic,11,1
bół ,2,1
olom,1,8
20 k,3,1
zřeš,1,2
bibo,2,1
náší,1,104
vidl,1,66
kudp,1,2
hime,2,2
biné,1,2
kruh,1,18
sił ,168,1
ajży,3,1
blíž,1,101
ylać,6,1
"kai,1,2
rda ,5,3
 i ",6,1
to r,236,103
e: u,1,2
olph,2,1
rena,3,1
y rů,1,3
akub,4,2
sebn,1,2
rumy,3,1
ośmy,4,1
egów,18,1
ři ž,1,4
owyb,3,1
"ván,1,2
iwać,25,1
— są,2,1
vůdc,1,6
ztiš,1,3
livl,1,4
") n,2,1
z ab,7,1
awde,5,1
toky,15,7
lojd,1,2
ete ,2,384
klok,1,4
ć zi,15,1
sica,3,1
cast,2,3
aci ,56,44
báse,1,10
řeln,1,3
ueso,2,1
oń o,2,1
etrp,1,6
trób,5,1
jörk,2,2
ynon,7,2
ozón,1,3
ego/,2,1
m ró,24,1
rć z,3,1
ízlo,1,2
mnaz,14,1
igda,8,1
"„sk,2,1
čkám,1,26
hned,1,124
nase,3,3
a ml,15,37
á kv,1,8
oeth,2,1
ě št,1,17
"obě,1,6
zí t,1,8
rpli,78,1
mówk,15,1
s i ,30,1
cel ,19,12
anne,24,2
t až,1,17
uczł,2,1
kufr,1,31
co n,130,104
t mł,50,1
zoła,27,1
try",2,1
hu b,3,15
oudr,2,17
juku,10,1
adął,2,1
życy,8,1
ludż,3,1
štýn,1,2
dušo,1,2
oda ,166,68
hany,47,1
etol,3,4
e""w,2,1
o pę,5,1
ánky,1,12
bní ,1,36
iejc,3,1
an c,39,2
"kal,4,1
mov ,1,6
/ le,2,1
ze a,20,10
raun,3,2
ć ak,10,1
 (śr,2,1
gabl,3,1
c ta,17,15
hran,3,87
os s,6,3
erap,7,1
ty ž,1,4
vi ",1,2
l in,1,3
 seč,1,2
ł dw,26,1
ximu,1,2
uř t,1,4
ź śp,2,1
zkéh,1,3
dnéh,1,12
iełb,6,1
hů j,1,2
pols,94,7
klav,2,32
bują,54,1
smrk,1,2
bezs,22,1
jaja,20,1
láne,1,14
paté,1,2
asla,1,9
no č,1,2
on i,34,1
amco,2,1
rshm,3,1
al ž,1,18
vá p,1,37
rę ',2,1
ainw,8,1
u má,1,42
š ol,1,2
nia",4,1
lift,2,1
ą tr,64,1
yt -,2,1
ogam,23,1
obot,217,25
ěvka,1,2
"wyl,2,1
ande,20,14
e bi,128,11
rofi,12,6
ólci,7,1
dé f,1,2
ców:,2,1
ě op,1,27
 já ,1,139
pły ,5,1
0 pr,11,1
bylo,1,427
šky ,1,18
izzo,1,2
za f,12,3
č bě,1,2
 čin,1,35
umbe,2,1
glem,6,1
ž ká,1,2
ntuj,16,4
kalp,2,1
muli,2,1
mką ,3,1
vete,1,13
dmi ,1,16
r ně,1,3
í dr,1,7
saka,11,2
ek t,50,5
áčkl,1,4
tyře,1,4
asłe,12,1
20 t,3,1
yona,2,1
eníš,1,2
zyky,1,55
ýzdo,1,2
ý az,1,3
/ęła,2,1
omio,4,1
ążki,205,1
ią k,26,1
ed ł,3,1
ácto,1,2
a tě,1,34
y ti,3,21
stw ,13,1
„yur,2,1
h og,4,1
á sň,1,2
b ty,3,1
riac,13,1
tni ,95,2
yte ,26,1
ázce,1,6
čoko,1,24
opop,2,1
ł mo,99,1
d"" ,2,1
i 32,1,2
conn,2,1
rásy,1,4
dpar,2,1
tilo,1,18
„pot,3,2
 kůl,1,2
n oh,1,2
mlác,1,3
""sa,9,12
o od,291,109
zké ,1,26
babi,1,35
j en,4,1
 krb,1,4
etbu,1,4
il j,1,609
du p,21,77
ádám,1,40
ure ,2,1
łowe,40,1
aset,6,1
bky ,1,3
kumk,3,1
ý pi,1,6
ko i,57,6
 člu,1,7
m ch,368,270
ítán,1,17
ácie,1,2
jsil,3,2
ká n,1,23
atin,2,21
ź pł,2,1
stią,7,1
hasl,1,9
ż ps,3,1
těmi,1,14
otní,1,40
ka o,114,12
isen,3,1
wico,3,1
gubn,2,1
esa”,2,1
śćmi,8,1
rt k,2,3
otyc,67,1
nyst,1,2
stwi,97,1
ytny,8,1
ziół,2,1
niwo,3,1
elod,14,4
 zwł,19,1
"ado,2,2
butó,18,1
c mů,1,2
ń o ,4,1
h ćw,2,1
ochl,9,9
o ún,1,2
acít,1,3
rakn,3,1
m ws,207,1
 o o,33,6
auna,1,4
tkem,1,17
av l,1,2
seky,1,2
mone,43,3
pola,26,1
ytří,1,7
ivýc,1,4
y čt,1,4
t sá,1,55
v ho,1,20
ív s,1,5
rząg,2,1
ib p,1,2
et b,13,10
o lí,1,21
temu,261,1
rval,1,68
rovy,1,3
""zp,1,2
íč n,1,2
chib,2,1
t a ,2,70
dkuď,1,3
ořiv,1,2
zawu,1,2
rťák,1,2
ś ul,2,1
itř ,1,16
auny,2,2
ěty ,1,33
ii -,4,1
nik",2,1
"tém,1,5
iatr,85,4
 ""ż,4,1
tówk,39,1
a em,42,1
koka,2,4
i łu,3,1
 nůž,1,48
tnul,1,10
as o,63,17
liwą,28,1
dbić,2,1
akrz,8,1
ůbec,1,175
„ima,2,1
l ni,49,39
by a,13,11
nězo,1,2
ób k,3,1
kyti,1,2
hła ,24,1
scac,13,1
ezra,6,10
n zw,17,1
 zís,1,20
"gąb,2,1
ć gu,4,1
arżą,3,1
odpá,1,8
adio,72,2
ziku,2,5
stmy,2,1
movi,1,752
riků,1,2
oray,1,2
mašo,1,2
żby ,11,1
cnót,2,1
jnał,2,1
ć żw,2,1
xvi ,3,1
 pró,233,1
zběh,1,2
