Trigram,spanish,portugese
(ha,2,3
 sr,176,254
cee,4,5
) u,3,2
íla,34,21
s /,5,334
имя,1,2
amb,4407,2827
40–,1,2
-aq,2,1
” u,1,2
phy,11,5
₫"",2,1
sév,2,1
"mê,1,2
é-d,1,21
oçu,1,11
gym,2,1
ff ,10,11
spí,166,194
ска,1,2
vôo,1,7
wá ,3,1
ê p,1,3504
m"u,1,2
asy,3,1
cné,3,2
oia,8,299
aqb,3,2
"mm,5,1
kac,3,2
wür,3,1
aim,19,58
nul,58,25
ú b,7,1
eôm,1,2
 $2,2,1
5 q,2,7
" o,26,33
á ô,1,4
d'e,2,1
vít,7,83
mib,21,3
as¿,5,1
rnô,1,6
ærj,2,1
il",9,6
41),1,2
épl,7,4
$30,6,4
ksw,5,2
wol,3,8
424,2,1
ebc,5,14
iem,7471,82
 iz,271,6
god,43,74
 ux,2,1
aiy,3,1
ty ,59,50
itm,85,80
0–4,1,2
c-4,2,2
nái,12,5
-"",15,2
-¿l,2,1
5 (,1,3
ieu,5,7
n 0,4,1
uiv,531,241
– r,1,6
mnã,1,2
ñen,23,1
ler,1257,1320
 ĝo,1,3
anâ,1,11
hog,268,1
z; ,11,22
soe,15,8
ás”,1,2
 ôm,1,6
neo,269,104
gji,1,2
a e,1,4
 ol,1663,2210
-ti,7,11
 9ª,1,2
ê s,1,2
chu,339,1332
é-n,1,6
asõ,1,2
ioi,2,3
zne,5,2
o/m,2,1
""n,637,1011
858,1,2
ibl,2337,326
cút,2,5
6:3,8,14
ium,5,47
“ya,2,1
eút,2,1
n v,3241,58
r-v,1,80
-od,3,1
kag,7,4
www,4,2
"“r,1,3
cro,228,321
örk,2,3
dué,6,1
ôld,1,2
nik,26,24
csc,2,1
aem,21,71
 es,2,3
zar,2157,573
ław,3,2
rbá,4,7
twr,2,2
tsc,3,3
cpp,2,3
vib,24,32
guí,312,93
w é,1,2
 ¿g,2,1
osd,2,1
é w,2,13
eki,3,4
ɣel,2,1
é d,1693,2485
pol,2060,1529
¿y ,397,1
rio,5468,7583
huf,45,2
 mó,152,77
750,4,5
ro”,1,7
l í,11,1
dán,67,2
y 2,32,1
m"e,2,1
ózi,1,3
ma—,6,2
jaj,11,1
cót,7,1
 ‘m,2,1
o”),1,6
lma,595,596
ea ,2518,155
4% ,6,2
64-,2,1
sev,143,88
？'',2,1
epc,308,158
eba,1262,935
miz,38,255
ú h,66,1
puc,41,3
t/e,2,1
00e,2,1
hê ,1,2
raé,7,1
-ni,1,7
slo,188,125
go(,1,2
icu,442,546
k; ,1,2
-be,3,5
005,5,11
pe;,1,9
djã,1,2
h n,19,24
ahu,87,8
mc ,2,2
uzá,5,2
ae»,2,1
 ро,1,3
"¿b,7,1
dou,173,1665
"ae,1,6
"ze,2,10
 a;,1,2
; u,29,37
stz,2,1
no»,4,1
mue,2150,9
é s,1279,1583
ka",1,4
lur,96,31
 lú,14,31
kti,2,1
3-2,1,2
nuí,3,23
 '=,1,2
sda,2,2
e-c,4,9
cut,411,1111
add,10,4
íop,5,14
bot,762,323
-no,15,707
rgê,1,83
dle,31,9
ênf,1,5
"cl,26,43
2; ,2,2
eñé,22,1
ulp,1034,1253
r 9,2,2
742,2,1
líb,12,65
isg,49,10
05-,2,1
ocl,43,27
lix,10,191
p b,5,5
r] ,2,1
á r,343,442
«so,7,1
u i,467,2308
ix-,2,2
 (f,2,12
i ó,1,10
ĉor,2,1
hé",2,1
rl+,2,2
dã-,1,7
4 v,3,1
rij,53,104
c m,10,5
"pr,298,574
áls,3,3
o c,16683,28055
u-m,2,249
ocç,1,2
ato,4235,4549
guç,1,28
«pa,4,1
1h0,1,2
ãe:,1,5
e j,1672,2657
rdo,2090,1616
or(,1,2
êmn,1,2
3 º,2,1
híp,3,3
¡yo,52,1
amá,980,257
elv,753,133
adj,45,48
péz,1,2
ídg,1,2
r “,6,12
gh",2,2
en ,57639,250
goe,10,14
sa‘,2,1
cóc,11,53
 ru,1417,1609
''s,3,7
 ty,3,3
úst,11,72
ndh,5,10
ô p,1,20
sóm,8,1
úsp,3,1
; i,7,19
sí’,3,1
 qo,2,1
"sú,6,1
6 e,14,11
475,3,2
árd,21,14
b s,20,16
5 0,2,1
5 t,4,5
ksa,2,2
foc,50,106
mig,4148,4852
ésa,110,57
»"p,8,1
véi,5,1
dêm,1,13
ás:,8,6
oib,1,187
 ку,1,3
haw,53,5
fôr,1,5
xte,273,281
'in,1,2
itv,4,1
hiy,4,2
diâ,1,12
yān,2,1
bul,310,371
am-,1,766
“ac,1,3
792,1,3
7 y,10,1
tst,2,2
a'o,2,1
me ,28071,19394
xno,4,1
f o,2,1
con,37172,30393
sdé,6,6
so»,3,1
175,1,4
meñ,19,1
cú",3,1
ríz,3,1
ная,1,2
993,5,5
çá ,1,3
lss,2,1
"fé,4,3
ra:,34,37
354,2,2
smó,8,3
ecs,1,2
-úl,3,1
kg ,2,4
ubi,1645,309
vo ,1,2
 fe,2226,8425
sóc,15,40
” a,1,11
 fô,1,61
jón,96,1
603,5,4
' p,1,2
gaç,1,302
imy,1,2
su ,13539,4
sip,19,23
ío;,8,1
c (,2,2
 2c,4,2
` ),2,1
vóm,6,2
iró,415,2
ígl,10,1
úbn,1,2
láz,7,3
ok ,34,75
üed,40,1
ku ,15,10
har,2732,3383
:"n,2,1
lmô,1,4
ayu,3257,19
xtl,4,1
1:0,4,5
 40,71,78
pdt,1,2
pō",2,1
ntó,1863,11
alt,2695,2578
riç,1,105
9 º,2,1
-mo,1,35
s “,4,10
 po,29745,36204
o &,2,2
iyy,4,1
 nº,2,8
iz;,2,8
bén,8,66
¡fo,2,1
ia ,8042,30786
mág,89,119
mpú,31,1
ast,6680,3193
jo;,3,4
hc ,1,3
he ,5643,3452
ofy,2,1
oza,158,59
" “,1,2
l «,1,2
078,1,2
aão,1,103
úas,20,1
ulç,1,2
írá,1,2
f m,7,1
ho/,2,1
uag,39,185
etc,45,44
taç,1,1151
teú,1,54
ma ,1,2
 y;,2,1
viz,27,362
ujé,11,1
víp,6,8
я"",1,3
567,2,3
tô ,1,24
ie",2,6
ahr,6,4
“no,4,1
nzi,13,39
n"s,3,1
3d ,2,2
abr,4344,1760
do",48,54
zco,782,7
ge-,1,13
ej”,1,2
hãs,1,86
pf ,1,2
sob,2900,4419
y r,906,38
meh,3,2
gbt,5,1
gew,1,2
da/,2,1
xul,4,13
-pó,1,2
iss,23,22572
z f,1,2
alá,364,308
"¡e,213,1
úes,14,1
 “m,4,23
"mc,1,3
6 p,6,10
g-p,6,2
yn ,12,10
ºc ,3,2
ebk,2,1
ece,9677,11755
 zs,4,1
óin,2,1
 ek,2,1
ftá,2,2
r â,1,4
ãzi,1,27
nhu,13,1364
v b,2,3
«¿n,8,1
rli,54,111
bez,772,23
inâ,1,11
lol,30,6
üer,12,1
¡eu,3,1
"75,1,2
dt ,9,6
rén,31,2
znó,2,1
oye,535,2
"bo,54,214
xcl,83,107
a"u,3,1
enk,10,3
m t,1,2
alb,204,74
emy,3,4
doy,124,3
rem,2833,5604
uád,5,3
jun,1051,1207
ópt,85,49
nem,1785,2111
iía,2,1
ocâ,1,2
siê,1,3
¡oj,41,1
-5 ,2,2
tna,29,37
ra',7,2
1 4,2,1
396,1,2
"pú,2,1
d q,482,4
kel,33,27
mát,667,565
 ír,1,2
a'',3,3
ove,2171,2959
777,7,5
876,2,6
ap",1,2
feç,1,5
o $,2,3
acé,149,5
nº ,2,8
gíl,6,11
gau,9,9
up ,7,9
pão,1,945
míc,1,12
nís,69,34
fól,5,2
ufó,17,9
ozm,12,11
 88,6,5
i”;,1,2
961,4,6
iás,16,42
"lf,1,2
kis,21,12
;de,1,2
¿¡a,3,1
rnã,2,6
rzó,32,1
biq,8,8
l l,3428,147
dí ,814,1
5x5,2,1
 ¡l,51,1
925,2,1
mpr,8119,9415
"pi,89,18
a1 ,2,3
sha,162,78
até,180,2568
ncô,1,25
xii,6,11
obb,35,55
gf-,1,2
fír,5,2
çá-,1,30
vay,844,1
vrá,1,4
00€,2,1
hér,126,21
més,51,55
raó,90,157
gnp,2,1
“at,1,2
877,1,2
x <,1,2
mel,746,4238
g j,4,4
íce,42,115
3 f,3,8
epé,3,1
"“h,2,1
gou,4,2045
çoc,1,6
ask,16,9
 bh,4,2
7h3,1,4
udô,1,12
ur",2,3
urr,1365,316
auu,2,1
mi:,1,4
f p,6,15
¡pá,13,1
rtâ,1,122
ve",5,9
nja,429,362
bt*,2,1
(pé,1,2
ő r,2,1
á h,699,185
elb,21,6
 ga,4677,4748
káa,2,1
cle,661,636
kpa,2,3
hid,114,182
spô,1,6
ǐn ,2,1
744,2,1
sba,63,33
érz,7,1
27 ,14,15
"ir,34,38
"án,11,1
kra,5,4
do(,1,4
saç,1,130
€30,1,3
cês,1,7946
+ ",1,2
"iz,2,1
875,1,2
d l,328,4
9; ,2,1
5 f,4,8
0° ,2,1
e d,1,4
xan,18,202
urú,4,1
“on,1,5
lsâ,1,2
ad;,24,1
túe,9,1
etö,2,1
50-,1,3
ísc,4,10
ña;,3,1
diz,164,4568
(da,2,9
qai,2,1
<<e,2,1
uoy,4,1
oló,360,234
 'c,5,7
e “,10,29
“aq,1,2
túl,2,7
çãs,1,188
ré-,1,37
j c,14,1
yeh,2,4
ni:,2,1
122,2,2
300,47,48
¡má,7,1
i'm,1,2
"dm,1,2
gri,988,882
hãn,1,2
r e,14264,7815
kil,220,17
-sp,1,2
— q,1,13
big,77,68
m- ,2,1
órt,35,16
ng-,10,7
ré ,4443,27
síp,11,7
“¡¿,2,1
cuo,37,22
 br,1947,4266
"-e,2,1
s ñ,5,1
5–2,1,2
…vo,1,2
u ú,78,60
 xh,2,1
ho),2,4
 «k,2,1
ñab,66,1
$40,3,1
1 h,5,14
aã ,1,8
(et,1,2
upl,67,96
13º,1,2
¿la,179,1
éfo,656,3
bim,71,44
e a,24781,30041
apy,1,2
b ",2,1
oxt,2,2
aas,3,6
es;,58,61
-us,3,4
 út,212,253
rúa,23,1
ill,5422,191
poz,59,1
-34,2,1
’ n,3,2
$86,1,2
occ,94,6
aoj,1,2
50º,1,2
duc,2675,332
séf,3,3
imo,3890,3174
-fa,2,10
ver,12232,17228
20/,2,1
byt,4,2
 ae,264,236
niê,1,14
9 g,3,2
 85,6,5
yte,4,2
v n,5,20
ho",7,20
 lì,2,1
ds ,17,31
129,2,2
fá ,56,48
o"y,2,1
ídu,2,52
aju,66,3789
ol;,3,5
 9:,9,4
» f,1,2
sâo,1,2
 xv,28,46
roo,54,19
") ,5,4
nol,188,153
 ¿e,227,1
uza,289,190
lín,414,1808
gae,4,8
o/a,4,4
rd-,2,3
dāo,1,2
ve ,3498,5819
 so,1,3
"lí,3,8
iat,502,588
ênc,1,2932
¡ám,2,1
nav,613,679
 ed,1,3
áña,18,1
"do,127,150
onc,2215,1528
nji,38,24
lay,470,509
azz,53,49
—ch,2,1
anv,36,2
/ r,1,40
 sg,1,2
twy,1,2
15",2,1
pút,1,2
¡mé,3,1
rаm,1,2
"he,268,26
 (r,4,7
isl,452,151
k'n,2,1
nt ,29,37
ucy,39,26
ève,2,2
 ─n,2,1
«se,10,1
lky,2,1
ari,6433,9924
n h,3970,33
om ,22230,59096
a —,14,55
thw,1,2
ê –,1,2
s"o,1,2
yúd,121,1
 hí,31,14
g q,5,9
6h ,2,2
hre,9,5
iné,185,58
 py,5,8
híj,2,1
wok,2,1
110,7,9
 “à,1,2
o ô,1,421
jer,3395,33
kug,2,1
jee,8,1
yda,3,1
l [,1,3
rks,6,25
à y,2,1
fál,2,2
oín,11,18
= 3,1,2
itc,10,8
fés,13,10
tim,2495,3190
(la,4,1
es',5,5
ez:,7,7
 «g,3,1
obí,4,18
 24,37,33
a:m,2,1
ua:,2,6
sam,1242,3482
lzi,1,19
(14,2,3
ômb,1,20
2so,2,1
 qu,80736,96407
 ri,1672,2706
x-f,1,2
on",11,6
fed,47,92
tco,6,5
lgb,5,1
shg,2,2
ejã,1,2
3 d,33,48
epu,164,149
#ri,1,2
 af,1001,878
uml,2,1
l):,1,2
icê,1,11
opt,220,23
rrô,1,6
'mo,1,4
58 ,4,5
pti,292,29
cot,272,208
xáp,2,2
991,4,2
cãe,1,183
ela,4670,24077
bl-,1,2
‘de,2,1
a /,5,292
by ,30,34
933,6,4
<<c,1,2
ogó,56,1
try,8,8
oço,1,510
ebe,5927,1826
fro,188,227
r g,1,2
búr,1,42
tpo,2,1
: k,1,2
“ta,1,5
02:,2,1
ewt,23,29
nag,116,197
cá ,131,81
'he,2,1
ta',2,4
hae,22,26
9 b,1,2
 lt,2,2
fum,679,685
a =,2,2
ñ ),2,1
arc,1770,1108
édu,21,26
déd,4,1
0h0,1,6
yu-,1,2
eji,224,4
 m³,1,2
tro,9940,7026
 (s,8,20
imk,1,2
ad ,5933,62
hon,539,537
 k2,3,3
unk,10,7
ba-,4,10
++0,2,2
(tr,2,3
aha,42,28
xie,2,1
¿am,14,1
 gm,2,3
zme,81,225
s-u,2,2
a)/,2,1
tah,13,5
xõe,1,32
 mr,3,3
"¿j,10,1
als,265,201
aú:,1,8
von,16,499
 so,19433,15169
d  ,2,1
-en,5,14
xat,3,469
arj,157,5
ccí,2,1
ê p,1,2
 (h,2,7
 ` ,2,1
795,3,3
riï,2,2
9 a,17,16
l 0,5,1
'+',1,3
ay),1,2
:"q,1,2
édr,6,3
xes,3,231
441,2,1
 pi,6774,2842
mêt,1,2
  g,1,2
cró,49,5
afã,1,6
 wu,2,4
bec,65,83
hho,1,2
(eu,1,4
ñig,3,1
ppy,4,2
¿ni,9,1
'al,4,4
umb,907,163
omã,1,10
138,1,2
bu ,13,5
xem,7,485
ogâ,1,17
evâ,1,6
806,2,1
ppi,18,88
zão,1,456
sát,20,10
tég,12,39
y 7,6,1
y e,5389,807
mpt,4,3
nay,8,3
0 g,31,25
"y:,1,2
nh ,4,1
o-x,1,2
tlá,45,3
—ma,3,2
—so,5,2
své,2,1
o d,30134,42464
utz,1,2
boá,1,2
“i”,1,2
dóm,2,1
oy-,2,1
à"",1,3
¿wi,2,1
“or,1,2
tmu,2,3
ayr,4,3
fôl,1,31
“só,1,2
vã ,1,7
eoz,2,2
ulb,2,2
 ¿h,58,1
os),6,23
rbí,5,7
o ‘,1,2
lvu,4,10
 we,118,72
tót,16,20
 2h,1,51
\\",1,3
ibu,549,1084
6 3,3,4
​en,3,1
oba,1530,165
