Bigram,polish,czech
žé,1,2
„m,23,10
ns,619,282
má,7,3940
hp,5,1
yń,36,1
gl,1548,267
uj,4459,2634
iž,1,164
ą/,3,1
e],2,1
"á,2,3
 j,5,1
3 ,2,1
i(,2,1
fx,2,1
ém,6,856
2),2,1
)b,3,1
‎m,1,3
ą:,2,1
ri,1043,639
c ,2320,1563
ůš,1,5
źg,5,1
oř,1,484
żb,48,1
wr,1197,2
rb,342,44
zt,797,383
uř,1,240
jb,162,25
lf,107,24
 k,7,1
iř,1,11
e”,22,1
98,18,4
ż:,2,1
aś,1373,1
uc,3792,657
c+,4,1
’e,2,1
 z,29143,8632
bo,3080,1940
-g,4,1
łp,62,1
l­,2,1
 ŝ,2,1
dř,1,217
áč,1,134
ůn,1,9
éc,5,34
0%,13,2
ń ,715,1
ůž,1,1231
79,2,2
zż,8,1
(+,2,1
0",1,2
'l,3,1
(k,2,1
eď,1,438
(=,3,1
št,1,1766
y-,5,1
éž,1,130
sz,26665,4
lč,1,43
rť,1,5
łl,13,1
ēs,1,2
if,49,35
oć,109,1
ań,1125,1
wy,10054,2
ůl,1,375
úž,1,23
„č,1,5
00,240,30
__,5,5
pu,1450,492
ć),2,1
gv,1,13
uf,253,240
:1,3,2
 _,2,2
 t,29769,20498
 v,27,13065
a”,22,1
až,1,1098
bd,7,43
7°,2,1
nv,1,16
¨r,1,3
s",7,2
un,1078,497
ěd,1,1270
ňt,1,74
26,7,3
šp,1,315
łt,96,1
55,4,3
ıv,2,1
/',2,1
jí,1,3653
zÿ,4,1
 ś,2754,1
"ú,1,10
a‘,1,3
kn,1370,1143
řs,1,41
wo,8659,8
lа,1,2
 ĉ,2,1
y­,2,1
ęz,601,1
ná,3,3737
 －,2,1
af,554,132
​j,6,1
'u,7,1
l2,2,1
óż,951,1
b",3,1
92,6,1
é ,2,3534
 €,4,2
lš,1,165
h;,4,1
aú,1,8
jg,61,3
ép,2,99
1),2,1
žs,1,33
pa,7030,2294
8t,1,2
nt,2226,879
go,13919,73
ďm,1,73
śn,1718,1
y ,2,1
-y,3,1
hj,2,2
gg,9,2
nż,27,1
”j,2,1
us,5097,2698
ré,3,496
k ,6573,3706
= ,2,1
ów,5689,1
fó,4,4
dn,4184,3441
j:,5,2
gw,190,1
1:,9,1
mc,126,40
ěc,1,857
"c,2661,826
ię,19819,1
ęź,24,1
íŕ,1,2
"p,3470,1568
źr,37,1
 [,1,2
p3,6,3
ču,1,69
bó,334,4
hs,9,1
as,8989,2506
ąu,2,1
x-,1,3
56,4,2
16,23,4
šs,1,3
np,8,1
ér,3,50
:),2,1
​w,4,1
wz,694,1
nč,1,259
cú,2,1
“–,1,2
еć,2,1
vi,45,3745
ąć,604,1
 ß,2,1
​t,4,1
vš,1,1324
hň,1,4
(i,2,1
or,6623,1604
​n,3,1
ě-,1,2
š ,1,2773
łj,2,1
śl,3022,1
04,2,2
1g,2,1
 k,13996,7209
iň,1,73
22,14,2
pů,1,432
eń,1048,1
yo,162,33
dd,332,19
pk,162,21
ł ,12280,1
ył,6905,1
ć',3,1
ss,67,19
ů“,1,3
cł,10,1
úk,1,66
"‎,1,2
59,1,2
ać,7109,1
fř,1,3
wh,22,7
tt,63,17
9%,2,1
ov,12,6574
j],1,2
tí,1,1694
„w,18,1
eb,3714,2937
lg,67,11
ý',1,2
ll,248,42
sý,1,23
ćw,90,1
-ó,3,1
ží,1,724
íč,1,240
bč,1,60
zú,1,26
ży,3591,1
85,4,5
”o,3,1
hi,758,87
sl,28,3219
ас,1,2
//,4,1
90,20,2
z),3,1
ÿc,3,1
„c,22,4
xv,9,2
yd,1281,334
ót,269,5
mw,32,1
(a,7,1
-4,2,1
 b,2,1
vt,1,70
żc,312,1
 8,34,9
hí,2,1
uň,1,9
hd,3,22
jj,2,4
lb,354,67
¨v,1,3
tk,3460,661
ęo,2,1
 ŭ,2,1
ćp,5,1
wl,59,1
šé,1,42
-š,1,2
żć,2,1
(z,4,3
sť,2,37
íj,1,136
(č,1,2
nm,3,1
ln,2023,884
ke,365,678
ди,1,3
 i,2,1
bę,2026,1
21,15,1
eś,6453,1
t”,3,1
áď,1,3
ku,5583,2633
e ,54978,32405
gó,588,8
ge,389,89
¨",1,5
mg,42,2
35,8,2
r”,5,1
h:,1,3
ur,2383,407
gą,253,1
ň ,1,226
”s,2,1
mý,1,300
jú,1,3
tę,1724,1
žm,1,3
kš,1,2
iź,24,1
)p,3,1
xo,8,6
vl,1,723
śm,2984,1
tu,4015,2199
ś(,2,1
du,2437,1841
=o,3,1
 w,10,1
uą,2,1
 °,1,2
y',19,1
ąc,2310,1
ć",6,1
-5,2,1
żę,139,1
łb,1542,1
'g,4,1
e/,23,1
30,94,41
ař,1,415
gí,1,3
fň,1,2
pr,20410,7002
pe,2231,1507
"",4595,3122
+a,2,1
 5,103,20
"„,52,23
yb,2108,882
ní,1,5189
”d,3,1
mo,11074,4681
 l,5690,2449
dí,1,1903
řš,1,4
-l,7,33
(ł,2,1
[d,2,1
(r,2,1
од,1,3
(s,5,1
cÿ,3,1
et,2789,2597
ck,675,640
sp,5555,1609
 n,32898,20689
„k,18,8
óg,809,2
mt,231,141
 ô,4,1
lw,367,1
75,6,1
jf,26,7
řl,1,3
ďu,1,3
ih,8,622
pm,6,2
ęu,2,1
fu,174,110
-d,8,2
‎b,1,2
(t,5,1
w:,4,1
ee,115,42
zč,1,23
nh,18,100
ňs,1,10
ef,478,192
u-,2,2
ůč,1,13
u“,1,3
pè,2,1
mk,347,117
gs,4,1
13,18,6
wě,1,3
ve,36,3685
eí,1,3
bb,53,5
cu,1660,263
vn,1,1004
ié,9,12
 $,3,1
bi,10550,748
"n,3999,2809
" ,54,37
ňů,1,5
$2,2,1
av,20,3317
86,5,1
óp,20,1
pj,2,3
s…,1,2
dj,381,97
62,4,1
58,4,1
jł,6,1
rk,1144,365
bc,376,72
yk,2893,564
tz,9,4
só,583,3
pü,2,3
tp,119,3
ír,1,422
„v,1,3
md,54,23
ud,3326,3961
gm,19,1
zv,1,837
-h,4,2
a:,20,8
(d,2,1
sć,3,1
ji,1102,2692
9-,2,1
„h,4,4
ó ,8,5
ńz,2,1
éš,1,26
ěň,1,11
xa,7,4
čh,1,2
lą,1153,1
bm,45,2
úz,2,16
”n,3,1
čk,1,763
žv,1,7
ho,3368,6770
z',2,1
01,23,9
oj,6618,2329
a',3,1
ds,416,277
'ó,2,1
ag,1423,73
n),7,1
c',2,1
h ,3715,2171
bf,22,1
bż,4,1
śż,2,1
41,4,3
(b,4,1
ňc,1,3
pl,1119,1318
ć;,5,1
ks,2004,17
n",7,3
lk,2219,835
su,2036,491
ít,1,2998
aj,8717,1636
ýž,1,24
„o,9,4
rć,80,1
10,227,20
ż;,3,1
ot,6128,3396
ęg,206,1
18,33,16
f1,1,2
zo,6661,457
né,3,1605
"z,1775,767
žn,1,524
ě",1,3
kj,1,7
v ,1,3059
96,14,3
cb,2,1
éh,1,929
áñ,2,1
ut,2771,1857
rt,1716,481
4 ,31,6
yn,2780,483
wp,319,1
:0,32,3
šš,2,35
 ž,1,5651
y…,2,1
ěn,1,614
ûc,2,1
(2,2,1
ub,2649,405
yg,1629,19
z-,2,1
os,10855,4045
mž,1,49
dr,2811,887
 d,22195,10118
ůb,1,182
₂o,1,2
„z,12,4
wá,2,1
ww,9,1
kž,1,40
 ř,1,1770
„e,2,2
dž,1,35
ol,5022,3426
 ś,5,1
9:,6,2
gp,4,2
"ŝ,1,2
ся,1,2
"@,2,1
€ ,2,1
éf,1,42
“j,1,3
ja,9941,2937
5 ,92,14
ls,786,156
83,7,3
gr,2645,131
(n,4,3
y’,2,1
br,4035,1428
i;,4,3
ož,1,1207
ão,2,2
/ ,12,1
sb,25,50
za,19437,4269
ón,10,46
uí,1,2
eź,553,1
fe,384,144
5%,6,2
tł,453,1
df,1,4
řm,1,24
ýn,1,44
u:,4,5
ł:,23,1
”),1,2
ęm,3,1
hm,226,25
ęś,674,1
ar,12712,3168
bě,1,760
n:,3,1
ćj,3,1
bą,801,1
ez,3121,1876
fą,4,1
y),9,2
k:,3,1
źy,2,1
„q,2,1
ba,5347,1009
ýh,1,36
lz,5,38
ję,3761,1
nk,1535,509
 ‚,1,7
sł,3300,1
nb,2,7
93,8,5
zm,2082,434
lů,1,78
se,1535,15275
”p,4,1
n/,5,2
69,4,1
w",5,1
ük,2,3
19,118,34
ap,4259,1474
0-,15,1
77,5,2
ęw,9,1
äm,2,1
‚n,1,2
gn,765,39
sh,112,74
— ,5,47
d“,1,2
/p,9,1
31,4,2
bn,530,254
11,26,5
f”,2,1
"y,7,2
tn,1935,1420
yć,2845,1
íl,1,551
5g,2,1
ůr,1,69
cz,28040,1
ýk,1,70
iń,172,1
řp,1,5
kd,1,3990
mč,1,24
89,5,6
cn,350,286
0c,2,1
té,2,685
nl,23,8
jz,16,6
źć,179,1
sm,526,1738
ł(,7,1
bw,34,1
gz,164,1
mi,15934,4248
gt,8,4
ýč,1,8
žň,1,14
54,3,6
nž,1,117
ťa,1,197
šá,1,40
"ž,1,91
úc,1,7
áň,1,4
"x,5,1
ć ,13061,1
eż,1535,1
iz,787,403
uh,1,763
c;,1,2
o…,1,2
zą,2103,1
40,26,5
án,2,1494
co,5339,3322
"k,1308,1118
dý,1,393
lý,1,564
śł,3,1
n“,1,2
ýb,1,72
eř,1,695
va,35,4661
sč,1,5
sc,1403,315
źń,25,1
”t,2,2
ai,339,52
na,27261,9089
 č,1,2041
ac,10098,1258
hc,3603,1594
es,23842,4039
07,3,1
m ,2,1
śb,24,1
yá,1,2
up,2020,1178
my,8422,1568
mü,2,1
si,19612,5163
jl,234,107
ýr,1,74
 %,1,3
ćn,2,1
 a,5175,5141
io,3524,107
čí,1,1127
„n,30,14
h-,3,2
48,5,2
ůs,1,436
ax,1,42
"ř,1,469
§4,1,2
w ,2,1
łu,2578,1
- ,289,87
'k,1,2
ay,105,41
“č,1,4
rś,24,1
vó,1,23
ym,7879,76
32,4,5
áh,1,341
ąś,98,1
ro,17387,7354
iś,3198,1
“n,1,5
šň,1,5
-n,3,2
it,1150,3983
uč,1,965
vú,1,2
sá,2,430
z(,2,1
lí,1,2409
ěz,1,327
 2,212,56
gk,4,3
pń,2,1
aq,5,2
iá,4,60
i',5,2
 ',17,6
ča,1,1247
‚v,1,2
hś,27,1
żm,16,1
ir,430,173
rd,2496,256
źó,2,1
żó,95,1
eá,1,23
nď,1,9
jů,1,5
mn,4402,1022
di,677,2291
€1,3,1
óc,1050,1
ą;,3,1
wd,1826,1
áž,1,465
14,24,3
ab,2027,1736
ný,1,1836
gé,1,14
ci,18620,2543
 3,95,17
so,2607,1926
8m,2,1
úm,1,47
tf,59,1
wc,2150,4
§5,1,2
jš,1,246
tě,1,3625
te,15466,8349
1-,3,1
łł,2,1
íh,1,233
h”,3,1
ćt,3,1
śt,3,1
v-,2,1
xy,8,9
yš,2,446
zk,2644,745
dg,50,2
áł,2,1
op,3718,1795
xt,3,36
ią,4850,1
“",3,18
ł ,2,1
/r,2,1
ey,25,7
hř,1,87
z:,7,1
x),2,1
xu,3,18
‎o,1,2
jd,864,813
lc,246,57
nw,32,2
áz,1,965
ůh,1,30
éř,1,10
6 ,38,6
p ,195,73
'm,3,1
§3,1,2
jo,696,171
šl,1,550
'i,3,1
95,20,5
'r,4,1
uż,3072,1
: ,150,58
uš,1,628
/c,3,1
-b,9,1
kp,2,1
0k,1,2
ug,1141,22
ěv,1,139
ś:,3,1
c",3,1
2 ,50,9
ýj,1,11
bí,1,704
bá,2,303
4%,2,2
uy,8,1
‎š,1,2
-i,6,2
iď,1,18
mb,147,92
 w,30724,46
 »,3,1
ŝa,1,2
yp,1262,551
yō,3,1
są,2186,1
šr,1,10
yl,2240,2721
nd,756,360
dv,7,836
fr,731,430
oo,181,84
e",31,10
mě,1,3977
eu,325,530
í“,1,2
út,1,52
aw,8425,8
dz,24987,35
oł,1852,1
źe,2,1
hů,1,129
rg,275,61
z ,1,2
jp,131,13
šn,1,160
yź,74,1
'',5,9
řv,1,20
sv,1,2336
ff,11,3
v",2,1
wb,45,1
jc,945,46
dś,17,1
t),2,1
… ,3,2
eg,11142,93
 c,18399,4228
kg,4,2
'z,2,1
ýd,1,209
vc,1,94
 m,4,1
źd,250,1
zś,12,1
ób,1082,4
j-,3,1
iq,3,2
čů,1,52
to,26711,22383
śp,499,1
 6,39,10
mł,423,1
óć,49,1
h',2,1
64,3,1
tš,1,155
cé,3,14
„1,2,1
dź,1164,1
-",4,1
tá,2,1476
sg,2,1
ie,83575,403
ím,1,4922
yv,1,75
"m,3261,2203
tř,1,1825
​m,2,1
fť,1,3
ро,1,3
a",26,13
(w,7,1
 ĵ,2,1
rý,1,699
ě“,1,2
ďa,1,86
rc,922,134
ók,85,2
wó,1218,1
lé,3,1246
kh,4,91
dó,297,1
o”,8,1
ám,3,3935
 π,2,1
yž,1,707
ům,1,362
ża,1743,1
ąż,1464,1
zg,880,1
bů,1,35
lj,1,2
ôd,2,1
mu,5823,3016
ße,1,2
"u,503,485
wł,1161,1
lp,12,4
wk,739,1
 :,2,1
ět,1,1979
ye,14,1
rž,1,218
34,3,1
ć ,20,1
fs,2,3
"š,1,80
e-,30,20
gj,2,1
oy,15,2
ńb,5,1
a-,13,3
ea,264,58
 ú,1,473
łg,17,1
ż ,3,1
h",5,1
ś ,6236,1
èr,2,1
ae,25,11
ąb,79,1
c°,1,2
"d,1102,750
m),7,2
řn,1,15
ły,4040,1
úd,1,18
ev,26,2133
ří,1,3112
zš,1,127
d ,3669,2204
vž,1,291
sy,1444,420
tm,43,112
al,7564,8177
vů,1,725
m;,7,5
сь,1,2
5:,4,3
kó,932,14
ic,5362,2302
uu,21,1
zu,3081,466
sw,2156,1
a ,40096,13833
jč,1,111
í",1,5
ep,2236,1852
ęp,493,1
lá,3,1850
čl,1,265
és,1,56
pč,1,7
ě:,1,3
š:,1,2
-u,3,2
jh,1,30
da,8054,2127
m”,10,1
:4,4,1
fi,1211,277
(",2,1
ał,19431,1
vu,2,587
éb,2,39
mv,1,9
kr,3017,1427
ęk,1512,1
ć”,4,1
g“,1,2
(c,6,1
"o,1875,495
3 ,60,12
​​,23,1
ła,11725,1
ąl,2,1
; ,55,29
ę ,38,1
cd,12,6
"e,68,20
ďt,1,58
 u,6539,3867
h),1,2
kt,4048,1030
bh,3,10
aß,1,2
ík,1,1115
”c,2,1
 s,36316,22550
§2,1,2
id,2324,2035
ře,1,6063
$ ,2,1
vá,1,2717
bž,1,5
a/,4,1
ýš,1,124
vb,1,17
pi,9181,1570
yt,3136,471
há,1,841
ól,660,8
mj,1,2
ę;,4,1
%),2,1
52,3,1
lú,1,3
mâ,2,1
tr,8434,2799
„š,1,2
u1,1,2
ťá,1,16
at,6684,5990
yu,47,62
pł,1419,1
bg,11,1
ůň,1,27
:",2,1
π²,2,1
k;,2,3
čb,1,6
dw,1591,5
/o,4,1
ōg,2,1
 o,14563,6039
46,3,3
ob,11952,3549
u",10,6
úr,1,19
u;,2,3
á‘,1,2
an,14257,3213
ib,297,133
úb,1,2
łn,673,1
36,5,2
dł,2783,1
dh,5,50
ew,3446,18
"g,521,6
ix,11,5
"1,8,1
b”,2,1
pň,1,2
s-,5,1
"i,291,46
-o,4,2
g',2,1
bř,1,344
hý,1,141
bň,1,2
ne,6595,16541
n ,6742,2172
ęl,156,1
žt,1,35
-s,9,1
jö,2,3
ák,2,396
tó,2209,5
ką,1337,1
é:,1,2
(f,3,1
ýp,1,16
e;,11,4
hł,551,1
§1,1,2
l+,2,1
yś,3002,1
ko,13533,6252
​z,3,1
72,5,1
eh,7,999
tb,9,79
dp,810,525
 o,3,1
f),3,1
"ć,8,1
ů ,1,273
de,3234,4685
n',5,1
% ,16,4
x",2,2
1%,2,1
 =,2,1
řů,1,10
7 ,27,1
f ,52,25
o ,3,1
­m,2,1
vě,1,3645
ňá,1,9
íf,1,2
g-,2,2
uź,21,1
xi,10,116
”w,4,1
​p,2,1
"w,2472,2
 «,4,1
 e,976,275
» ,3,1
uv,1,1313
 (,52,9
ý",1,2
ak,9542,4565
žš,1,36
5-,4,1
th,103,26
bý,1,783
 g,6718,130
čt,1,393
wm,29,1
oš,1,263
vň,1,5
nc,1221,799
pc,359,54
uo,70,6
të,3,1
ód,1023,15
ân,2,1
mö,2,1
řá,1,550
čč,1,2
)",5,1
ś",2,1
ą ,9281,1
éd,1,55
₤",2,1
 0,9,6
yh,1,367
(ś,3,1
:2,3,1
ě ,1,5103
 1,491,75
ví,1,2916
uń,26,1
áp,1,305
“t,1,4
fg,5,3
ga,2660,127
om,16069,14210
r",8,1
ý ,1,2475
 b,15323,7726
i",17,8
 c,5,1
og,4744,141
 ĥ,2,1
kř,1,151
gř,1,5
nó,480,3
ěp,1,50
qu,12,4
pū,1,2
fy,18,16
żp,3,1
ěť,1,33
wę,500,1
€3,2,1
ż-,2,1
kw,453,1
g ,415,12
ę/,4,1
sę,121,1
y”,17,1
gł,2654,1
·ś,2,1
fl,95,39
sd,4,23
 ź,138,1
úř,1,8
rí,4,3
e…,2,2
čn,1,804
m-,6,1
88,9,3
rł,355,1
j ,11063,1810
jś,708,1
í ,1,8111
лс,1,2
¨p,1,2
iê,2,1
zp,808,791
 q,8,2
ió,676,19
um,2475,890
28,13,1
"b,903,568
ę-,2,1
łé,2,1
d-,2,2
nš,1,68
87,6,2
mé,1,546
pá,1,536
jk,203,29
'n,2,2
st,32130,11762
kc,598,35
vč,1,374
ěč,1,91
7:,14,2
eş,2,1
ju,2613,245
"a,313,224
uď,1,117
:5,3,1
0r,2,1
hh,1,2
ah,68,666
d',3,3
-m,26,7
” ,129,4
řk,1,56
sr,31,106
łż,63,1
nu,1453,1991
ęn,6,1
lo,2110,4724
 f,2,1
o),6,1
76,8,2
sj,244,11
čc,1,36
dě,1,5464
óz,76,30
zz,82,54
ďá,1,17
do,14479,7563
čm,1,5
lż,19,1
 “,1,5
kč,1,4
tň,1,5
aż,2835,1
oe,133,63
pn,455,159
je,28934,13923
ij,1038,968
33,4,4
by,11703,6472
81,3,1
ńm,12,1
rń,3,1
ůz,1,112
"ż,156,1
qi,2,1
zř,1,96
lr,2,16
' ,9,4
+4,4,1
l”,4,2
66,3,1
(v,1,2
t ,13650,6833
kł,1362,1
pó,1551,6
„ż,3,1
ki,11963,99
cą,452,1
hó,548,1
ń",3,1
ąd,3008,1
au,1774,970
jó,72,7
cę,1519,1
8-,2,1
0 ,475,52
ch,18202,9732
hl,137,3413
tč,1,22
u ,7740,8277
s ,1567,4043
èl,3,1
„s,7,4
ša,1,158
m1,2,1
he,488,496
kś,3,1
 ł,994,1
žo,1,200
pě,1,608
úl,1,8
bé,1,11
pp,14,3
